cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSWLV0001008	1734	8	431	79545	113
WSWLV0001021	1396	8	431	79545	113
WSWLV0001023	286	8	431	79545	113
WSWLV0001028	686	8	431	79545	113
WSWLV0001029	2078	8	431	79545	113
WSWLV0001030	828	8	431	79545	113
WSWLV0001032	214	8	431	79545	113
WSWLV0001037	1437	8	431	79545	113
WSWLV0001039	1047	8	431	79545	113
WSWLV0001052	262	8	431	79545	113
WSWLV0001053	593	8	431	79545	113
WSWLV0001059	2277	8	431	79545	113
WSWLV0001060	3613	8	431	79545	113
WSWLV0001065	314	8	431	79545	113
WSWLV0001081	649	8	431	79545	113
WSWLV0001083	280	8	431	79545	113
WSWLV0001085	285	8	431	79545	113
WSWLV0001088	274	8	431	79545	113
WSWLV0001090	248	8	431	79545	113
WSWLV0001091	218	8	431	79545	113
WSWLV0001093	895	8	431	79545	113
WSWLV0001094	362	8	431	79545	113
WSWLV0001099	1044	8	431	79545	113
WSWLV0001103	220	8	431	79545	113
WSWLV0001106	1035	8	431	79545	113
WSWLV0001113	576	8	431	79545	113
WSWLV0001120	264	8	431	79545	113
WSWLV0001122	641	8	431	79545	113
WSWLV0001125	1526	8	431	79545	113
WSWLV0001140	375	8	431	79545	113
WSWLV0001141	564	8	431	79545	113
WSWLV0001143	2323	8	431	79545	113
WSWLV0001155	990	8	431	79545	113
WSWLV0001158	996	8	431	79545	113
WSWLV0001161	342	8	431	79545	113
WSWLV0001171	1965	8	431	79545	113
WSWLV0001174	314	8	431	79545	113
WSWLV0001178	1576	8	431	79545	113
WSWLV0001179	853	8	431	79545	113
WSWLV0001181	1020	8	431	79545	113
WSWLV0001183	301	8	431	79545	113
WSWLV0001184	230	8	431	79545	113
WSWLV0001185	918	8	431	79545	113
WSWLV0001188	431	8	431	79545	113
WSWLV0001192	230	8	431	79545	113
WSWLV0001197	219	8	431	79545	113
WSWLV0001200	481	8	431	79545	113
WSWLV0001211	222	8	431	79545	113
WSWLV0001218	225	8	431	79545	113
WSWLV0001230	242	8	431	79545	113
WSWLV0001232	497	8	431	79545	113
WSWLV0001233	328	8	431	79545	113
WSWLV0001246	2091	8	431	79545	113
WSWLV0001251	564	8	431	79545	113
WSWLV0001258	582	8	431	79545	113
WSWLV0001264	444	8	431	79545	113
WSWLV0001266	411	8	431	79545	113
WSWLV0001268	252	8	431	79545	113
WSWLV0001271	730	8	431	79545	113
WSWLV0001272	540	8	431	79545	113
WSWLV0001274	378	8	431	79545	113
WSWLV0001275	1773	8	431	79545	113
WSWLV0001277	261	8	431	79545	113
WSWLV0001279	280	8	431	79545	113
WSWLV0001286	3129	8	431	79545	113
WSWLV0001287	201	8	431	79545	113
WSWLV0001288	249	8	431	79545	113
WSWLV0001290	2995	8	431	79545	113
WSWLV0001291	223	8	431	79545	113
WSWLV0001293	305	8	431	79545	113
WSWLV0001300	452	8	431	79545	113
WSWLV0001301	297	8	431	79545	113
WSWLV0001303	619	8	431	79545	113
WSWLV0001309	1485	8	431	79545	113
WSWLV0001310	339	8	431	79545	113
WSWLV0001311	799	8	431	79545	113
WSWLV0001312	279	8	431	79545	113
WSWLV0001318	259	8	431	79545	113
WSWLV0001319	307	8	431	79545	113
WSWLV0001320	233	8	431	79545	113
WSWLV0001322	235	8	431	79545	113
WSWLV0001325	506	8	431	79545	113
WSWLV0001327	412	8	431	79545	113
WSWLV0001330	1868	8	431	79545	113
WSWLV0001333	356	8	431	79545	113
WSWLV0001334	769	8	431	79545	113
WSWLV0001335	716	8	431	79545	113
WSWLV0001336	254	8	431	79545	113
WSWLV0001337	224	8	431	79545	113
WSWLV0001340	291	8	431	79545	113
WSWLV0001342	774	8	431	79545	113
WSWLV0001350	207	8	431	79545	113
WSWLV0001353	230	8	431	79545	113
WSWLV0001354	427	8	431	79545	113
WSWLV0001355	256	8	431	79545	113
WSWLV0001356	990	8	431	79545	113
WSWLV0001359	700	8	431	79545	113
WSWLV0001361	1333	8	431	79545	113
WSWLV0001366	237	8	431	79545	113
WSWLV0001370	1162	8	431	79545	113
WSWLV0001373	1135	8	431	79545	113
WSWLV0001378	238	8	431	79545	113
WSWLV0002004	526	10	937.5	186378	178
WSWLV0002005	755	34	2156.5	249752	108
WSWLV0002006	770	4	1430	138899	89
WSWLV0002008	302	22	927	88331	79
WSWLV0002009	825	16	562.5	37373	44
WSWLV0002011	3784	6	1865	234439	113
WSWLV0002012	1116	25	1028.5	224017	178
WSWLV0002014	1867	47	1961.5	138372	66
WSWLV0002015	1026	10	937.5	186378	178
WSWLV0002016	1405	39	1997	203666	99
WSWLV0002018	1992	17	1379	111228	67
WSWLV0002019	309	45	994	54904	57
WSWLV0002020	1561	26	1995	189879	89
WSWLV0002024	1358	6	1865	234439	113
WSWLV0002027	1176	26	1995	189879	89
WSWLV0002028	1265	39	1997	203666	99
WSWLV0002030	1848	6	1865	234439	113
WSWLV0002032	263	10	937.5	186378	178
WSWLV0002035	921	3	1275	129482	101
WSWLV0002036	1660	5	1833	220077	107
WSWLV0002037	1210	11	717	65368	85
WSWLV0002039	525	48	701	31335	41
WSWLV0002040	1655	26	1995	189879	89
WSWLV0002042	3547	40	1872.5	158800	80
WSWLV0002044	327	18	790	70370	79
WSWLV0002045	2010	42	1919.5	88999	44
WSWLV0002046	2137	26	1995	189879	89
WSWLV0002047	1138	4	1430	138899	89
WSWLV0002048	1476	33	2148	189033	87
WSWLV0002051	618	45	994	54904	57
WSWLV0002053	2260	41	2059	81383	40
WSWLV0002055	1750	47	1961.5	138372	66
WSWLV0002056	2061	37	1904	194531	98
WSWLV0002059	1134	43	1063.5	142647	120
WSWLV0002065	2079	39	1997	203666	99
WSWLV0002066	995	12	700	26462	35
WSWLV0002067	2969	27	2454	133116	53
WSWLV0002069	1776	34	2156.5	249752	108
WSWLV0002070	527	22	927	88331	79
WSWLV0002071	1845	44	1582.5	76775	48
WSWLV0002072	1430	24	1408	223294	137
WSWLV0002074	696	25	1028.5	224017	178
WSWLV0002075	1528	26	1995	189879	89
WSWLV0002079	2505	27	2454	133116	53
WSWLV0002080	301	16	562.5	37373	44
WSWLV0002081	366	13	1072.5	64321	56
WSWLV0002083	3504	33	2148	189033	87
WSWLV0002084	1170	15	780	50786	55
WSWLV0002085	3195	40	1872.5	158800	80
WSWLV0002086	1274	19	808.5	40435	36
WSWLV0002087	918	13	1072.5	64321	56
WSWLV0002088	240	14	455	30944	55
WSWLV0002089	3362	30	2266.5	186732	76
WSWLV0002090	1856	5	1833	220077	107
WSWLV0002092	507	48	701	31335	41
WSWLV0002093	709	43	1063.5	142647	120
WSWLV0002094	286	15	780	50786	55
WSWLV0002095	1589	26	1995	189879	89
WSWLV0002098	2481	33	2148	189033	87
WSWLV0002099	2634	3	1275	129482	101
WSWLV0002100	462	8	431	79545	113
WSWLV0002102	797	11	717	65368	85
WSWLV0002103	1035	23	1721.5	133987	68
WSWLV0002105	705	10	937.5	186378	178
WSWLV0002109	260	16	562.5	37373	44
WSWLV0002110	245	12	700	26462	35
WSWLV0002111	966	26	1995	189879	89
WSWLV0002116	745	4	1430	138899	89
WSWLV0002120	205	21	449	17824	33
WSWLV0002122	2361	33	2148	189033	87
WSWLV0002123	612	10	937.5	186378	178
WSWLV0002128	984	24	1408	223294	137
WSWLV0002130	2261	33	2148	189033	87
WSWLV0002135	2063	3	1275	129482	101
WSWLV0002136	2341	40	1872.5	158800	80
WSWLV0002140	2125	5	1833	220077	107
WSWLV0002142	1770	26	1995	189879	89
WSWLV0002147	2213	24	1408	223294	137
WSWLV0002148	805	11	717	65368	85
WSWLV0002153	2642	37	1904	194531	98
WSWLV0002154	2050	6	1865	234439	113
WSWLV0002156	3801	35	1595.5	81562	50
WSWLV0002158	514	19	808.5	40435	36
WSWLV0002160	966	22	927	88331	79
WSWLV0002161	2019	10	937.5	186378	178
WSWLV0002166	1392	10	937.5	186378	178
WSWLV0002168	1912	40	1872.5	158800	80
