gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Spis10012_1	22	0.0053246	12	0.033	0.005	1	0	0.003039	1	1	1	0.0031906	0.0031813	-0.0027007817810867	-0.146875258445913	12	750	no	-8.29195653288864
Spis10033_1	17	0.0065768	6	0.015	-0.013	1	0	0.0019481	3	2	1	0.002393	0.0045155	0.593015139349038	0.594492177144896	6	750	no	-8.70696388778567
Spis10078_1	22	0.0042567	8	0.014	-0.014	1	0	0.0036444	1	1	1	0.0021271	0.0021231	-0.00147703779585776	-0.000288524451161534	8	750	no	-8.87689642526439
Spis10079_1	13	0.0030206	4	0.035	0.013	1	0	0.0015479	1	1	1	0.0010635	0.0010627	-0.000405679328112321	-0.000126016366941237	4	750	no	-9.8769642513635
Spis10089_1	103	0.0222698	31	0.155	0.087	1	0	0.0107763	1	1	1	0.0082425	0.0081767	-0.00950104742874766	-0.28656122340387	31	750	no	-6.92270230276643
Spis10110_1	31	0.0072675	12	0.022	-0.008	1	0	0.0051458	1	1	1	0.0031906	0.0031813	-0.0027007817810867	-0.146875258445913	12	750	no	-8.29195653288864
Spis10164_1	12	0.0024874	5	0.014	-0.001	1	0	0.0018127	1	1	1	0.0013294	0.001328	-0.000649320301339588	-0.000243640973227267	5	750	no	-9.55500902565385
Spis10165_1	23	0.0101292	3	0.034	0.009	1	0	0.0036647	2	2	1	0.0013294	0.0023918	0.423809874601671	0.424215553929783	3	750	no	-9.55500902565385
Spis10167_1	29	0.0118993	10	0.008	-0.023	1	0	0.005246	3	2	2	0.0037224	0.0063691	0.566418308883647	0.429650961118114	10	750	no	-8.06955119245429
Spis10168_1	98	0.0249717	41	0.046	-0.015	1	0	0.0177145	3	2	2	0.0119649	0.0144845	0.242799237098936	-0.0521211424988939	41	750	no	-6.38504785057545
Spis10169_1	27	0.0090549	9	0.006	-0.022	1	0	0.00444	4	2	1	0.0034565	0.0071689	0.772890869743384	0.628716393078558	9	750	no	-8.17647235901699
Spis10188_1	93	0.0233999	26	0.067	0.003	1	0	0.0126715	2	2	2	0.0079766	0.0100427	0.277060175975122	-0.00756801165513282	26	750	no	-6.97001035129661
Spis10190_1	47	0.010432	16	0.06	0.016	1	0	0.0063154	2	2	1	0.004786	0.0058282	0.212483372271362	0.0996429092402242	16	750	no	-7.70696388778568
