metacell_new,cell_type,N
1,NA,21
1,cnidocyte,7
1,precursors,2
1,digestive_filaments,2
1,gland_4,2
1,unknown_3,1
1,neuron_1,1
2,gastrodermis_1,62
2,NA,2
3,gastrodermis_1,95
3,NA,6
4,gastrodermis_1,86
4,NA,3
5,gastrodermis_1,105
5,unknown_4,1
5,gland_4,1
6,gastrodermis_1,107
6,NA,3
6,cnidocyte,1
6,digestive_filaments,1
6,unknown_2,1
7,NA,43
7,gastrodermis_1,11
7,gland_4,2
7,digestive_filaments,1
7,epidermis,1
8,gastrodermis_2,92
8,NA,15
8,neuron_1,3
8,gastrodermis_1,1
8,neuron_2,1
8,gland_3,1
9,digestive_filaments,49
9,NA,12
9,precursors,11
9,unknown_3,1
9,unknown_4,1
9,gland_4,1
10,epidermis,162
10,NA,12
10,precursors,2
10,unknown_6,1
10,gland_3,1
11,epidermis,66
11,NA,14
11,precursors,3
11,unknown_1,1
11,gland_5,1
12,epidermis,18
12,NA,15
12,precursors,1
12,unknown_3,1
13,epidermis,35
13,precursors,12
13,NA,9
14,neuron_1,32
14,NA,19
14,neuron_2,2
14,digestive_filaments,1
14,precursors,1
15,neuron_2,43
15,NA,7
15,neuron_1,3
15,gland_5,1
15,gland_4,1
16,neuron_2,27
16,unknown_1,25
16,neuron_1,6
16,NA,6
16,gland_4,2
16,unknown_2,1
16,unknown_6,1
16,cnidocyte,1
17,gland_1,64
17,gland_3,36
17,NA,3
18,gland_2,75
18,NA,3
18,gland_1,1
19,NA,14
19,unknown_2,9
19,neuron_1,2
19,unknown_1,2
19,precursors,2
19,epidermis,2
19,neuron_2,1
19,unknown_6,1
20,unknown_3,55
20,precursors,15
20,NA,7
20,unknown_6,1
20,unknown_5,1
21,unknown_4,43
21,precursors,13
21,NA,6
21,unknown_5,3
21,epidermis,2
21,unknown_6,1
22,unknown_5,104
22,precursors,20
22,unknown_4,6
22,NA,5
22,gastrodermis_1,2
23,unknown_6,137
23,NA,29
23,precursors,5
23,unknown_3,2
23,gastrodermis_1,1
23,digestive_filaments,1
23,gland_4,1
23,gland_5,1
23,epidermis,1
24,unknown_6,51
24,precursors,34
24,NA,4
25,precursors,51
25,NA,2
26,precursors,120
26,NA,1
27,precursors,37
27,NA,6
27,unknown_6,1
28,precursors,71
28,NA,3
28,unknown_6,1
28,unknown_5,1
29,precursors,105
29,NA,4
29,cnidocyte,1
29,epidermis,1
29,gland_5,1
30,precursors,28
30,NA,10
30,gland_4,1
31,precursors,83
31,digestive_filaments,1
31,epidermis,1
31,unknown_6,1
31,NA,1
32,precursors,104
32,unknown_5,2
32,epidermis,2
33,precursors,39
33,NA,9
33,epidermis,2
34,precursors,37
34,epidermis,1
34,NA,1
34,unknown_3,1
35,precursors,88
35,NA,5
35,unknown_6,4
35,unknown_5,1
36,precursors,47
36,NA,5
36,unknown_5,1
36,unknown_6,1
36,digestive_filaments,1
37,precursors,92
37,gastrodermis_1,3
37,unknown_5,2
37,NA,1
37,epidermis,1
38,precursors,69
38,NA,5
38,unknown_6,3
38,cnidocyte,1
38,epidermis,1
38,digestive_filaments,1
39,precursors,33
39,NA,4
39,gastrodermis_1,1
39,unknown_3,1
39,unknown_2,1
40,precursors,38
40,epidermis,3
40,NA,2
40,digestive_filaments,1
41,precursors,85
41,NA,25
41,digestive_filaments,4
41,unknown_6,3
41,epidermis,3
42,precursors,38
42,NA,4
42,epidermis,3
42,digestive_filaments,2
42,unknown_6,1
43,precursors,31
43,NA,20
43,digestive_filaments,1
43,unknown_6,1
43,gland_5,1
43,gastrodermis_1,1
43,unknown_2,1
43,neuron_2,1
44,precursors,25
44,NA,8
44,epidermis,2
44,cnidocyte,2
44,gland_4,1
45,precursors,47
45,NA,9
45,unknown_6,8
45,gland_5,1
45,gastrodermis_1,1
46,precursors,21
46,NA,15
46,unknown_3,3
46,gland_3,1
46,epidermis,1
