metacell_new,cell_type,N
1,unknown_5,104
1,precursors,20
1,unknown_4,6
1,,5
1,gastrodermis_1,2
2,unknown_4,43
2,precursors,13
2,,6
2,unknown_5,3
2,epidermis,2
2,unknown_6,1
3,unknown_6,51
3,precursors,34
3,,4
4,precursors,38
4,,13
4,unknown_6,6
4,unknown_5,1
5,precursors,23
5,,2
5,epidermis,1
6,precursors,33
6,,4
6,gastrodermis_1,1
6,unknown_3,1
6,unknown_2,1
7,precursors,83
7,digestive_filaments,1
7,epidermis,1
7,unknown_6,1
7,,1
8,precursors,92
8,gastrodermis_1,3
8,unknown_5,2
8,,1
8,epidermis,1
9,precursors,88
9,,5
9,unknown_6,4
9,unknown_5,1
10,precursors,71
10,,3
10,unknown_6,1
10,unknown_5,1
11,precursors,38
11,epidermis,3
11,,2
11,digestive_filaments,1
12,precursors,38
12,,4
12,epidermis,3
12,digestive_filaments,2
12,unknown_6,1
13,precursors,69
13,,5
13,unknown_6,3
13,cnidocyte,1
13,epidermis,1
13,digestive_filaments,1
14,precursors,51
14,,2
15,precursors,47
15,,5
15,unknown_5,1
15,unknown_6,1
15,digestive_filaments,1
16,precursors,37
16,,6
16,unknown_6,1
17,precursors,120
17,,1
18,precursors,104
18,unknown_5,2
18,epidermis,2
19,precursors,105
19,,4
19,cnidocyte,1
19,epidermis,1
19,gland_5,1
20,precursors,17
20,,16
20,unknown_6,1
20,cnidocyte,1
20,unknown_3,1
20,unknown_4,1
21,precursors,28
21,,10
21,gland_4,1
22,,19
22,precursors,15
22,epidermis,1
23,precursors,31
23,,20
23,digestive_filaments,1
23,unknown_6,1
23,gland_5,1
23,gastrodermis_1,1
23,unknown_2,1
23,neuron_2,1
24,,20
24,precursors,14
24,digestive_filaments,4
24,epidermis,2
25,precursors,25
25,,8
25,epidermis,2
25,cnidocyte,2
25,gland_4,1
26,,20
26,precursors,8
26,epidermis,2
26,cnidocyte,1
26,digestive_filaments,1
27,,12
27,precursors,9
27,digestive_filaments,1
27,epidermis,1
28,precursors,37
28,epidermis,1
28,,1
28,unknown_3,1
29,precursors,39
29,,9
29,epidermis,2
30,precursors,28
30,,5
31,precursors,21
31,,5
31,epidermis,2
32,precursors,24
32,,4
32,epidermis,3
33,precursors,22
33,,3
33,epidermis,1
33,unknown_5,1
34,precursors,36
34,,3
34,gastrodermis_1,1
35,precursors,85
35,,25
35,digestive_filaments,4
35,unknown_6,3
35,epidermis,3
36,precursors,21
36,,15
36,unknown_3,3
36,gland_3,1
36,epidermis,1
37,,22
37,precursors,3
37,cnidocyte,1
37,unknown_3,1
38,,23
38,precursors,5
38,gland_4,1
38,gastrodermis_1,1
38,cnidocyte,1
38,unknown_5,1
