metacell_new,cell_type,N
38,epidermis,1
39,,26
39,precursors,3
39,unknown_6,1
39,cnidocyte,1
39,unknown_1,1
39,digestive_filaments,1
39,gland_4,1
40,epidermis,66
40,,14
40,precursors,3
40,unknown_1,1
40,gland_5,1
41,epidermis,18
41,,15
41,precursors,1
41,unknown_3,1
42,,13
42,precursors,6
43,epidermis,162
43,,12
43,precursors,2
43,unknown_6,1
43,gland_3,1
44,epidermis,35
44,precursors,12
44,,9
45,,21
45,precursors,9
45,gland_3,1
45,cnidocyte,1
45,neuron_2,1
45,digestive_filaments,1
45,epidermis,1
46,,10
46,precursors,6
46,gland_4,4
46,unknown_6,1
46,gland_3,1
47,,19
47,gland_5,6
47,precursors,4
47,digestive_filaments,1
47,unknown_6,1
47,unknown_4,1
47,epidermis,1
48,,11
48,precursors,9
48,digestive_filaments,3
48,unknown_5,1
48,epidermis,1
48,gastrodermis_1,1
48,unknown_6,1
49,,11
49,precursors,9
49,neuron_1,1
49,gland_4,1
49,unknown_6,1
49,digestive_filaments,1
49,epidermis,1
50,,16
50,precursors,9
50,unknown_6,1
51,precursors,47
51,,9
51,unknown_6,8
51,gland_5,1
51,gastrodermis_1,1
52,precursors,42
52,,11
52,unknown_6,3
53,unknown_3,55
53,precursors,15
53,,7
53,unknown_6,1
53,unknown_5,1
54,,15
54,precursors,7
54,unknown_6,2
54,unknown_2,1
54,digestive_filaments,1
54,unknown_3,1
55,precursors,13
55,,9
56,precursors,21
56,,12
56,cnidocyte,2
56,epidermis,1
56,unknown_6,1
56,digestive_filaments,1
56,neuron_2,1
56,gland_5,1
57,precursors,24
57,,9
57,gland_4,1
57,cnidocyte,1
57,gland_1,1
58,precursors,9
58,cnidocyte,7
58,,7
58,unknown_2,1
58,unknown_5,1
58,digestive_filaments,1
58,gland_5,1
58,gastrodermis_1,1
59,,18
59,precursors,7
59,unknown_6,1
59,unknown_5,1
60,,50
60,precursors,10
60,cnidocyte,2
60,unknown_3,2
60,neuron_1,1
60,gastrodermis_1,1
60,digestive_filaments,1
61,,23
61,precursors,9
61,digestive_filaments,2
61,gland_5,2
61,unknown_2,2
61,gland_2,1
61,unknown_5,1
61,gastrodermis_1,1
62,,13
62,precursors,7
62,epidermis,2
63,,13
63,precursors,10
63,epidermis,2
63,unknown_6,1
64,,17
64,precursors,9
64,neuron_2,1
64,gland_4,1
64,cnidocyte,1
64,digestive_filaments,1
65,gastrodermis_1,62
65,,2
66,gastrodermis_1,105
66,unknown_4,1
66,gland_4,1
67,gastrodermis_1,95
67,,6
68,,43
68,gastrodermis_1,11
68,gland_4,2
68,digestive_filaments,1
68,epidermis,1
69,gastrodermis_1,86
69,,3
70,gastrodermis_1,107
70,,3
70,cnidocyte,1
70,digestive_filaments,1
70,unknown_2,1
71,,26
71,precursors,4
71,unknown_3,2
71,gland_4,1
71,digestive_filaments,1
71,unknown_6,1
72,,21
72,cnidocyte,7
72,precursors,2
72,digestive_filaments,2
72,gland_4,2
72,unknown_3,1
72,neuron_1,1
73,digestive_filaments,49
73,,12
73,precursors,11
73,unknown_3,1
73,unknown_4,1
73,gland_4,1
74,,35
74,precursors,3
74,cnidocyte,1
74,unknown_4,1
75,,20
75,precursors,3
75,unknown_6,2
75,epidermis,1
75,digestive_filaments,1
75,gland_4,1
75,unknown_2,1
75,gastrodermis_1,1
76,,22
76,precursors,5
76,digestive_filaments,2
76,cnidocyte,1
76,epidermis,1
76,unknown_2,1
76,gland_3,1
77,,25
77,digestive_filaments,2
77,gland_5,2
77,epidermis,1
77,gastrodermis_1,1
77,precursors,1
78,,33
78,epidermis,1
78,gastrodermis_1,1
78,gastrodermis_2,1
78,precursors,1
78,unknown_2,1
78,cnidocyte,1
79,,19
79,precursors,11
79,epidermis,4
79,gland_5,3
79,unknown_3,1
79,digestive_filaments,1
80,,29
80,precursors,6
80,gland_4,2
80,gastrodermis_1,1
80,gastrodermis_2,1
80,cnidocyte,1
81,,36
81,digestive_filaments,2
81,gastrodermis_2,1
81,gastrodermis_1,1
81,precursors,1
81,cnidocyte,1
82,,25
82,precursors,4
82,neuron_1,1
82,gland_3,1
82,digestive_filaments,1
82,unknown_2,1
83,,19
83,precursors,8
83,gland_4,3
83,digestive_filaments,3
83,gastrodermis_1,2
83,neuron_1,2
83,cnidocyte,1
84,,29
84,precursors,5
84,gland_4,3
84,digestive_filaments,2
84,gastrodermis_1,1
84,epidermis,1
85,,27
85,epidermis,4
85,precursors,3
85,gastrodermis_1,1
85,neuron_1,1
86,unknown_6,137
86,,29
86,precursors,5
86,unknown_3,2
86,gastrodermis_1,1
86,digestive_filaments,1
86,gland_4,1
86,gland_5,1
86,epidermis,1
87,,18
87,unknown_6,10
87,precursors,6
87,gland_4,3
87,digestive_filaments,1
87,gland_5,1
87,unknown_3,1
88,,42
88,precursors,3
88,unknown_6,3
88,unknown_3,1
88,gland_4,1
88,neuron_1,1
88,neuron_2,1
89,,26
89,precursors,10
89,cnidocyte,1
89,gland_5,1
89,epidermis,1
89,unknown_6,1
89,gastrodermis_1,1
90,,21
90,gastrodermis_1,9
90,unknown_6,3
90,precursors,3
90,digestive_filaments,2
90,epidermis,1
91,,18
91,gastrodermis_1,4
91,unknown_2,2
91,unknown_3,2
91,epidermis,1
92,gland_2,75
92,,3
92,gland_1,1
93,gland_1,64
93,gland_3,36
93,,3
94,neuron_1,32
94,,19
94,neuron_2,2
94,digestive_filaments,1
94,precursors,1
95,neuron_2,27
95,unknown_1,25
95,neuron_1,6
95,,6
95,gland_4,2
95,unknown_2,1
95,unknown_6,1
95,cnidocyte,1
96,neuron_2,43
96,,7
96,neuron_1,3
96,gland_5,1
96,gland_4,1
97,,14
97,unknown_2,9
97,neuron_1,2
97,unknown_1,2
97,precursors,2
97,epidermis,2
97,neuron_2,1
97,unknown_6,1
98,,17
98,gland_4,8
98,precursors,1
98,gland_2,1
98,digestive_filaments,1
98,epidermis,1
99,gastrodermis_2,92
99,,15
99,neuron_1,3
99,gastrodermis_1,1
99,neuron_2,1
99,gland_3,1
100,,29
100,gastrodermis_1,6
100,unknown_6,1
100,neuron_1,1
100,unknown_5,1
100,epidermis,1
100,unknown_3,1
101,,49
101,precursors,3
101,gland_4,2
101,neuron_1,2
101,unknown_6,2
101,cnidocyte,1
101,unknown_3,1
101,digestive_filaments,1
102,,46
102,unknown_2,2
102,neuron_2,1
102,precursors,1
102,digestive_filaments,1
103,,39
103,precursors,4
103,gland_5,3
103,digestive_filaments,2
103,neuron_1,1
103,unknown_6,1
103,unknown_4,1
103,gastrodermis_1,1
104,,19
104,precursors,2
104,unknown_1,1
104,neuron_1,1
104,epidermis,1
104,gastrodermis_1,1
