gene	gene_umis
Spis10006_1	3
Spis10012_1	8
Spis10030_1	113
Spis10031_1	8
Spis10033_1	7
Spis10039_1	0
Spis10051_1	0
Spis10066_1	0
Spis10075_1	0
Spis10076_1	0
Spis10078_1	2
Spis10079_1	2
Spis10085_1	1
Spis10086_1	0
Spis10089_1	15
Spis10110_1	6
Spis10114_1	0
Spis10164_1	4
Spis10165_1	5
Spis10167_1	10
Spis10168_1	32
Spis10169_1	5
Spis10178_1	0
Spis10187_1	1
Spis10188_1	37
Spis10189_1	41
Spis10190_1	31
Spis10191_1	0
Spis10201_1	2
Spis10203_1	11
Spis10210_1	4
Spis10211_1	1
Spis10212_1	0
Spis10213_1	0
Spis10228_1	8
Spis10249_1	118
Spis10262_1	0
Spis10291_1	11
Spis10293_1	12
Spis10294_1	0
Spis10295_1	2
Spis10296_1	0
Spis10297_1	3
Spis10298_1	0
Spis10302_1	2
Spis10304_1	0
Spis10306_1	0
Spis10307_1	0
Spis10308_1	0
Spis10309_1	1
Spis10310_1	8
Spis10311_1	1
Spis10313_1	0
Spis10314_1	0
Spis10315_1	0
Spis10316_1	0
Spis10317_1	0
Spis10319_1	1
Spis1031_1	0
Spis10320_1	2
Spis10321_1	0
Spis10329_1	4
Spis10330_1	3
Spis10334_1	0
Spis10379_1	0
Spis10386_1	0
Spis10401_1	0
Spis10413_1	0
Spis1042_1	89
Spis1043_1	19
Spis1044_1	2
Spis10451_1	0
Spis10458_1	0
Spis1045_1	7
Spis10465_1	12
Spis10466_1	0
Spis10469_1	2
Spis10470_1	3
Spis10471_1	0
Spis10473_1	0
Spis10484_1	4
Spis10486_1	1
Spis10487_1	3
Spis10492_1	0
Spis10493_1	4
Spis10494_1	0
Spis10501_1	1
Spis10512_1	0
Spis10513_1	4
Spis10519_1	0
Spis10520_1	1
Spis10522_1	0
Spis10527_1	0
Spis10529_1	0
Spis10530_1	0
Spis10545_1	1
Spis10546_1	0
Spis10547_1	47
Spis10548_1	0
Spis10589_1	3
Spis10593_1	14
Spis10619_1	2
Spis10625_1	0
Spis10627_1	4
Spis10628_1	4
Spis10634_1	1
Spis10637_1	0
Spis10638_1	0
Spis10639_1	0
Spis10642_1	0
Spis10643_1	0
Spis10645_1	56
Spis10670_1	68
Spis10717_1	5
Spis10721_1	8
Spis10753_1	0
Spis10787_1	14
Spis10795_1	0
Spis10801_1	0
Spis10817_1	2
Spis10824_1	14
Spis10829_1	0
Spis10836_1	1
Spis10843_1	0
Spis10848_1	0
Spis10849_1	1
Spis10850_1	30
Spis10875_1	2
Spis10894_1	2
Spis10908_1	0
Spis10921_1	0
Spis10922_1	0
Spis10937_1	79
Spis10957_1	0
Spis10958_1	0
Spis10960_1	0
Spis10961_1	3
Spis10963_1	0
Spis10965_1	0
Spis10975_1	3
Spis1097_1	1
Spis11004_1	2
Spis11005_1	0
Spis11018_1	1
Spis11040_1	0
Spis11042_1	23
Spis11044_1	3
Spis11046_1	8
Spis11077_1	36
Spis11078_1	0
Spis11080_1	1
Spis11081_1	1
Spis11086_1	0
Spis11087_1	5
Spis11089_1	3
Spis11090_1	0
Spis11095_1	0
Spis11097_1	1
Spis11099_1	0
Spis11100_1	161
Spis11106_1	0
Spis11114_1	75
Spis11140_1	31
Spis11164_1	16
Spis11180_1	2
Spis11187_1	0
Spis11190_1	0
Spis11201_1	6
Spis11210_1	2
Spis11227_1	22
Spis11228_1	0
Spis11233_1	12
Spis11259_1	74
Spis11280_1	8
Spis11297_1	20
Spis11308_1	0
Spis1130_1	0
Spis11324_1	2
Spis11369_1	2
Spis11373_1	15
Spis11375_1	3
Spis11397_1	1
Spis11399_1	0
Spis11403_1	0
Spis11408_1	5
Spis11409_1	6
Spis11414_1	0
Spis11416_1	3
Spis11417_1	5
Spis11448_1	0
Spis11449_1	2
Spis11450_1	9
Spis11458_1	17
Spis11459_1	2
Spis1145_1	10
Spis11468_1	9
Spis11470_1	0
Spis11502_1	3
Spis11513_1	2
Spis11514_1	2
Spis11518_1	2
Spis11519_1	0
Spis11538_1	0
Spis11558_1	4
Spis11585_1	1
Spis11596_1	0
Spis11597_1	96
Spis11598_1	15
Spis11607_1	0
Spis11608_1	0
Spis11609_1	87
Spis11611_1	6
Spis11646_1	5
Spis11647_1	0
Spis11648_1	2
Spis11661_1	0
Spis11664_1	6
Spis11665_1	0
Spis11667_1	7
Spis11687_1	1
Spis11688_1	0
Spis11689_1	0
Spis11695_1	0
Spis11696_1	7
Spis11697_1	0
Spis11699_1	0
Spis11701_1	1
Spis11709_1	0
Spis11710_1	0
Spis11716_1	16
Spis11730_1	8
Spis11734_1	0
Spis11749_1	3
Spis11752_1	2
Spis11793_1	10
Spis11794_1	2
Spis11798_1	0
Spis11800_1	0
Spis11801_1	8
Spis11806_1	0
Spis11808_1	2
Spis11809_1	6
Spis11810_1	15
Spis11811_1	14
Spis11812_1	62
Spis11813_1	1
Spis11816_1	2
Spis11817_1	16
Spis11819_1	10
Spis11820_1	0
Spis11822_1	3
Spis11847_1	2
Spis11849_1	2
Spis11850_1	0
Spis11865_1	9
Spis11866_1	9
Spis11868_1	13
Spis11915_1	3
Spis11917_1	0
Spis11919_1	0
Spis11922_1	3
Spis11944_1	0
Spis11945_1	0
Spis11947_1	3
Spis11973_1	0
Spis11974_1	1
Spis11979_1	0
Spis11980_1	4
Spis11981_1	0
Spis11982_1	0
Spis11983_1	0
Spis11984_1	0
Spis11988_1	0
Spis11993_1	0
Spis12001_1	1
Spis12003_1	0
Spis12018_1	0
Spis12045_1	0
Spis12055_1	15
Spis12066_1	7
Spis12090_1	1
Spis12104_1	3
Spis12109_1	0
Spis1210_1	0
Spis12151_1	0
Spis12155_1	0
Spis12160_1	3
Spis12193_1	1
Spis12194_1	15
Spis12197_1	2
Spis12217_1	0
Spis12218_1	4
Spis12220_1	2
Spis12222_1	2
Spis12227_1	1
Spis12249_1	0
Spis12250_1	2
Spis12252_1	2
Spis12254_1	0
Spis12258_1	0
Spis12259_1	0
Spis12260_1	3
Spis12261_1	3
Spis12263_1	0
Spis12267_1	50
