cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSETLV0001220	209	31	931	57903	51
WSETLV0001225	444	47	478	71014	125
WSETLV0001226	738	15	398	29634	68
WSETLV0001227	680	25	422.5	18412	40
WSETLV0001230	504	15	398	29634	68
WSETLV0001232	498	20	526	82284	108
WSETLV0001233	357	23	459	36891	71
WSETLV0001234	558	12	541	35705	54
WSETLV0001235	344	11	333.5	19598	52
WSETLV0001236	465	6	1662	162158	87
WSETLV0001237	262	26	1096	128756	97
WSETLV0001238	210	39	371.5	41857	90
WSETLV0001239	534	18	711	50449	57
WSETLV0001244	345	2	686	52725	63
WSETLV0001245	384	32	610.5	60613	80
WSETLV0001249	1313	38	914.5	77933	80
WSETLV0001251	225	39	371.5	41857	90
WSETLV0001252	306	12	541	35705	54
WSETLV0001253	430	13	737.5	75624	86
WSETLV0001255	432	21	578	46864	71
WSETLV0001256	577	13	737.5	75624	86
WSETLV0001258	442	15	398	29634	68
WSETLV0001260	542	35	787	93532	97
WSETLV0001261	307	32	610.5	60613	80
WSETLV0001262	547	36	783.5	35009	40
WSETLV0001263	625	28	1192	140861	98
WSETLV0001264	238	17	844	84811	80
WSETLV0001265	230	11	333.5	19598	52
WSETLV0001267	554	17	844	84811	80
WSETLV0001269	520	12	541	35705	54
WSETLV0001270	200	28	1192	140861	98
WSETLV0001271	607	18	711	50449	57
WSETLV0001273	403	22	662	29192	38
WSETLV0001274	705	47	478	71014	125
WSETLV0001275	566	18	711	50449	57
WSETLV0001276	222	39	371.5	41857	90
WSETLV0001278	666	8	1331	97851	64
WSETLV0001279	330	20	526	82284	108
WSETLV0001282	916	14	767	47027	53
WSETLV0001283	1019	38	914.5	77933	80
WSETLV0001290	387	10	857.5	88011	78
WSETLV0001291	211	47	478	71014	125
WSETLV0001292	364	23	459	36891	71
WSETLV0001295	429	35	787	93532	97
WSETLV0001298	483	47	478	71014	125
WSETLV0001299	437	12	541	35705	54
WSETLV0001302	353	47	478	71014	125
WSETLV0001303	417	21	578	46864	71
WSETLV0001307	1293	38	914.5	77933	80
WSETLV0001310	423	38	914.5	77933	80
WSETLV0001312	639	23	459	36891	71
WSETLV0001313	2539	24	765.5	22537	24
WSETLV0001314	371	47	478	71014	125
WSETLV0001315	448	26	1096	128756	97
WSETLV0001316	356	38	914.5	77933	80
WSETLV0001320	1286	24	765.5	22537	24
WSETLV0001321	466	10	857.5	88011	78
WSETLV0001325	799	17	844	84811	80
WSETLV0001326	749	5	1339.5	173736	118
WSETLV0001327	427	19	762	74309	85
WSETLV0001328	636	25	422.5	18412	40
WSETLV0001329	944	24	765.5	22537	24
WSETLV0001330	1014	12	541	35705	54
WSETLV0001332	870	31	931	57903	51
WSETLV0001335	885	47	478	71014	125
WSETLV0001336	930	17	844	84811	80
WSETLV0001338	1896	10	857.5	88011	78
WSETLV0001339	1381	30	1212	130854	96
WSETLV0001345	786	24	765.5	22537	24
WSETLV0001348	590	21	578	46864	71
WSETLV0001350	489	10	857.5	88011	78
WSETLV0001354	305	22	662	29192	38
WSETLV0001358	243	40	639	56324	74
WSETLV0001359	246	39	371.5	41857	90
WSETLV0001360	1219	33	819	103650	100
WSETLV0001361	1476	9	1268.5	56424	42
WSETLV0001362	332	11	333.5	19598	52
WSETLV0001363	837	47	478	71014	125
WSETLV0001367	1008	26	1096	128756	97
WSETLV0001368	1113	28	1192	140861	98
WSETLV0001369	602	19	762	74309	85
WSETLV0001370	717	29	1001	78394	57
WSETLV0001371	767	32	610.5	60613	80
WSETLV0001372	890	21	578	46864	71
WSETLV0001374	541	47	478	71014	125
WSETLV0001375	646	40	639	56324	74
WSETLV0001377	1147	33	819	103650	100
WSETLV0001378	949	38	914.5	77933	80
WSETLV0001379	1020	21	578	46864	71
WSETLV0001380	360	16	710.5	24235	32
WSETLV0001381	465	45	476	24171	43
WSETLV0001382	1207	30	1212	130854	96
WSETLV0001383	193	46	323	18263	35
