gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Spis10030_1	113	0.0657411	28	0.141	0.021	1	0	0.0338981	3	3	2	0.0164425	0.0231592	0.437737076095605	0.107939578072054	28	604	no	-5.92642651950239
Spis10089_1	15	0.0047206	5	0.043	0.000999999999999994	1	0	0.003831	2	1	1	0.0029895	0.0039791	0.23889258752651	0.24033688942037	5	604	no	-8.38588007376396
Spis10168_1	32	0.0113992	12	0.032	-0.026	1	0	0.0108755	2	2	1	0.0069756	0.0089244	0.269682853567861	0	12	604	no	-7.1634669702585
Spis10188_1	37	0.0101318	12	0.058	-0.01	1	0	0.0115418	2	1	1	0.0064773	0.0074356	0.14623815276875	-0.00904392996670936	12	604	no	-7.27039171975463
Spis10189_1	41	0.0136011	13	0.164	0.088	1	0	0.0091453	2	2	1	0.0074738	0.0094157	0.256515697790113	0	13	604	no	-7.06394232716083
Spis10190_1	31	0.0101571	13	0.089	0.026	1	0	0.0067718	1	1	1	0.0064773	0.0064386	-0.00622879886655212	-0.161510881602012	13	604	no	-7.27039171975463
Spis10203_1	11	0.003232	4	0.032	-0.002	1	0	0.0025651	1	1	1	0.001993	0.00199	-0.000962408889060076	-0.000421355997623812	4	604	no	-8.97084257448512
Spis10249_1	118	0.0674137	26	0.028	-0.094	1	0	0.0453661	4	3	3	0.0189337	0.0365307	0.864557370339516	0.519886585597658	26	604	yes	-5.72289982151982
Spis10291_1	11	0.0042287	1	0.063	0.029	1	0	0.0024638	1	0	0	0.0004983	0.0004983	0	0	1	604	no	-10.970697805528
Spis10293_1	12	0.0029813	6	0.065	0.034	1	0	0.0034811	1	1	1	0.0029895	0.0029821	-0.00194410745071045	-0.000499805556850751	6	604	no	-8.38588007376396
Spis1042_1	89	0.0246765	38	0.13	0.023	1	0	0.0269136	2	2	1	0.0199302	0.0215368	0.0997781288466947	-0.271834048110882	38	604	no	-5.64890000204831
Spis1043_1	19	0.0052106	4	0.057	0.009	1	0	0.0054366	1	1	1	0.001993	0.00199	-0.000962408889060076	-0.000421355997623812	4	604	no	-8.97084257448512
Spis10465_1	12	0.0034797	3	0.003	-0.028	1	0	0.0062375	1	1	1	0.0014948	0.0014933	-0.000541052891436265	-0.000335064696896781	3	604	no	-9.38583181583079
Spis10547_1	47	0.0150635	12	0.064	-0.013	1	0	0.0176768	1	1	1	0.0059791	0.0059463	-0.00558792743763165	-0.170912495800713	12	604	no	-7.3858559445956
Spis10593_1	14	0.0308874	2	0.013	-0.024	1	0	0.0032105	5	1	0	0.0029895	0.0129522	1.49211098784798	1.49355528974184	2	604	no	-8.38588007376396
Spis10645_1	56	0.017747	17	0.127	0.041	1	0	0.0182184	2	2	2	0.0099651	0.0128618	0.301329827123517	0.0878914168458149	17	604	no	-6.64890000204831
