metacell_new,cell_type,N,frac,assigned_cell_type,assigned_frac
15,cnidocyte,42,0.954545454545455,cnidocyte,0.954545454545455
15,mitotic_host_cells,1,0.0227272727272727,cnidocyte,0.954545454545455
15,gland_10,1,0.0227272727272727,cnidocyte,0.954545454545455
12,cnidocyte,2,0.285714285714286,cnidocyte,0.285714285714286
12,digestive_filaments,2,0.285714285714286,cnidocyte,0.285714285714286
12,neuron_1,1,0.142857142857143,cnidocyte,0.285714285714286
12,neuron_14,1,0.142857142857143,cnidocyte,0.285714285714286
12,gastrodermis,1,0.142857142857143,cnidocyte,0.285714285714286
169,gastrodermis_musclelike,75,0.76530612244898,gastrodermis_musclelike,0.76530612244898
169,gastrodermis,17,0.173469387755102,gastrodermis_musclelike,0.76530612244898
169,digestive_filaments,6,0.0612244897959184,gastrodermis_musclelike,0.76530612244898
143,gastrodermis,36,1,gastrodermis,1
145,gastrodermis,38,1,gastrodermis,1
147,gastrodermis,108,1,gastrodermis,1
151,gastrodermis,121,1,gastrodermis,1
154,gastrodermis,106,1,gastrodermis,1
216,gastrodermis,39,1,gastrodermis,1
217,gastrodermis,32,1,gastrodermis,1
219,gastrodermis,15,1,gastrodermis,1
222,gastrodermis,27,1,gastrodermis,1
224,gastrodermis,85,1,gastrodermis,1
226,gastrodermis,90,1,gastrodermis,1
160,gastrodermis,157,0.993670886075949,gastrodermis,0.993670886075949
160,neuron_2,1,0.00632911392405063,gastrodermis,0.993670886075949
167,gastrodermis,112,0.991150442477876,gastrodermis,0.991150442477876
167,neuron_5,1,0.00884955752212389,gastrodermis,0.991150442477876
158,gastrodermis,95,0.989583333333333,gastrodermis,0.989583333333333
158,cnidocyte,1,0.0104166666666667,gastrodermis,0.989583333333333
191,gastrodermis,95,0.989583333333333,gastrodermis,0.989583333333333
191,host_cells,1,0.0104166666666667,gastrodermis,0.989583333333333
186,gastrodermis,70,0.985915492957746,gastrodermis,0.985915492957746
186,calicoblast,1,0.0140845070422535,gastrodermis,0.985915492957746
187,gastrodermis,66,0.985074626865672,gastrodermis,0.985074626865672
187,neuron_2,1,0.0149253731343284,gastrodermis,0.985074626865672
223,gastrodermis,125,0.984251968503937,gastrodermis,0.984251968503937
223,immune_2,1,0.0078740157480315,gastrodermis,0.984251968503937
223,gland_4,1,0.0078740157480315,gastrodermis,0.984251968503937
148,gastrodermis,123,0.984,gastrodermis,0.984
148,host_cells,2,0.016,gastrodermis,0.984
153,gastrodermis,113,0.982608695652174,gastrodermis,0.982608695652174
153,neuron_11,1,0.00869565217391304,gastrodermis,0.982608695652174
153,host_cells,1,0.00869565217391304,gastrodermis,0.982608695652174
213,gastrodermis,54,0.981818181818182,gastrodermis,0.981818181818182
213,digestive_filaments,1,0.0181818181818182,gastrodermis,0.981818181818182
220,gastrodermis,51,0.980769230769231,gastrodermis,0.980769230769231
220,mitotic_host_cells,1,0.0192307692307692,gastrodermis,0.980769230769231
163,gastrodermis,94,0.979166666666667,gastrodermis,0.979166666666667
163,host_cells,1,0.0104166666666667,gastrodermis,0.979166666666667
163,germline_sperm,1,0.0104166666666667,gastrodermis,0.979166666666667
225,gastrodermis,93,0.978947368421053,gastrodermis,0.978947368421053
225,neuron_11,1,0.0105263157894737,gastrodermis,0.978947368421053
225,cnidocyte,1,0.0105263157894737,gastrodermis,0.978947368421053
171,gastrodermis,91,0.978494623655914,gastrodermis,0.978494623655914
171,neuron_10,1,0.010752688172043,gastrodermis,0.978494623655914
171,host_cells,1,0.010752688172043,gastrodermis,0.978494623655914
228,gastrodermis,90,0.978260869565217,gastrodermis,0.978260869565217
228,host_cells,1,0.0108695652173913,gastrodermis,0.978260869565217
228,neuron_3,1,0.0108695652173913,gastrodermis,0.978260869565217
149,gastrodermis,86,0.977272727272727,gastrodermis,0.977272727272727
149,gland_8,1,0.0113636363636364,gastrodermis,0.977272727272727
149,host_cells,1,0.0113636363636364,gastrodermis,0.977272727272727
189,gastrodermis,43,0.977272727272727,gastrodermis,0.977272727272727
189,neuron_12,1,0.0227272727272727,gastrodermis,0.977272727272727
209,gastrodermis,122,0.976,gastrodermis,0.976
209,host_cells,2,0.016,gastrodermis,0.976
209,epidermis_2,1,0.008,gastrodermis,0.976
144,gastrodermis,80,0.975609756097561,gastrodermis,0.975609756097561
144,cnidocyte,2,0.024390243902439,gastrodermis,0.975609756097561
227,gastrodermis,79,0.975308641975309,gastrodermis,0.975308641975309
227,neuron_5,1,0.0123456790123457,gastrodermis,0.975308641975309
227,neuron_11,1,0.0123456790123457,gastrodermis,0.975308641975309
165,gastrodermis,78,0.975,gastrodermis,0.975
165,cnidocyte,1,0.0125,gastrodermis,0.975
165,gland_8,1,0.0125,gastrodermis,0.975
152,gastrodermis,77,0.974683544303798,gastrodermis,0.974683544303798
152,host_cells,1,0.0126582278481013,gastrodermis,0.974683544303798
152,digestive_filaments,1,0.0126582278481013,gastrodermis,0.974683544303798
155,gastrodermis,114,0.974358974358974,gastrodermis,0.974358974358974
155,neuron_5,1,0.00854700854700855,gastrodermis,0.974358974358974
155,neuron_4,1,0.00854700854700855,gastrodermis,0.974358974358974
155,gland_1,1,0.00854700854700855,gastrodermis,0.974358974358974
174,gastrodermis,136,0.971428571428571,gastrodermis,0.971428571428571
174,gastrodermis_musclelike,3,0.0214285714285714,gastrodermis,0.971428571428571
174,digestive_filaments,1,0.00714285714285714,gastrodermis,0.971428571428571
185,gastrodermis,99,0.970588235294118,gastrodermis,0.970588235294118
185,host_cells,2,0.0196078431372549,gastrodermis,0.970588235294118
185,neuron_14,1,0.00980392156862745,gastrodermis,0.970588235294118
146,gastrodermis,62,0.96875,gastrodermis,0.96875
146,host_cells,1,0.015625,gastrodermis,0.96875
146,neuron_11,1,0.015625,gastrodermis,0.96875
200,gastrodermis,28,0.96551724137931,gastrodermis,0.96551724137931
200,neuron_13,1,0.0344827586206897,gastrodermis,0.96551724137931
190,gastrodermis,74,0.961038961038961,gastrodermis,0.961038961038961
190,immune_2,1,0.012987012987013,gastrodermis,0.961038961038961
190,mitotic_host_cells,1,0.012987012987013,gastrodermis,0.961038961038961
190,gland_6,1,0.012987012987013,gastrodermis,0.961038961038961
157,gastrodermis,49,0.96078431372549,gastrodermis,0.96078431372549
157,host_cells,2,0.0392156862745098,gastrodermis,0.96078431372549
156,gastrodermis,72,0.96,gastrodermis,0.96
156,neuron_5,1,0.0133333333333333,gastrodermis,0.96
156,neuron_12,1,0.0133333333333333,gastrodermis,0.96
156,neuron_8,1,0.0133333333333333,gastrodermis,0.96
221,gastrodermis,71,0.959459459459459,gastrodermis,0.959459459459459
221,neuron_11,1,0.0135135135135135,gastrodermis,0.959459459459459
221,neuron_14,1,0.0135135135135135,gastrodermis,0.959459459459459
221,epidermis_1,1,0.0135135135135135,gastrodermis,0.959459459459459
166,gastrodermis,94,0.959183673469388,gastrodermis,0.959183673469388
166,host_cells,2,0.0204081632653061,gastrodermis,0.959183673469388
166,immune_2,1,0.0102040816326531,gastrodermis,0.959183673469388
166,immune_1,1,0.0102040816326531,gastrodermis,0.959183673469388
168,gastrodermis,70,0.958904109589041,gastrodermis,0.958904109589041
168,gland_1,1,0.0136986301369863,gastrodermis,0.958904109589041
168,mitotic_host_cells,1,0.0136986301369863,gastrodermis,0.958904109589041
168,calicoblast,1,0.0136986301369863,gastrodermis,0.958904109589041
229,gastrodermis,46,0.958333333333333,gastrodermis,0.958333333333333
229,neuron_6,1,0.0208333333333333,gastrodermis,0.958333333333333
229,mitotic_host_cells,1,0.0208333333333333,gastrodermis,0.958333333333333
218,gastrodermis,22,0.956521739130435,gastrodermis,0.956521739130435
218,digestive_filaments,1,0.0434782608695652,gastrodermis,0.956521739130435
172,gastrodermis,86,0.955555555555556,gastrodermis,0.955555555555556
172,germline_sperm,1,0.0111111111111111,gastrodermis,0.955555555555556
172,neuron_12,1,0.0111111111111111,gastrodermis,0.955555555555556
172,cnidocyte,1,0.0111111111111111,gastrodermis,0.955555555555556
172,digestive_filaments,1,0.0111111111111111,gastrodermis,0.955555555555556
173,gastrodermis,42,0.954545454545455,gastrodermis,0.954545454545455
173,digestive_filaments,2,0.0454545454545455,gastrodermis,0.954545454545455
188,gastrodermis,62,0.953846153846154,gastrodermis,0.953846153846154
188,neuron_12,1,0.0153846153846154,gastrodermis,0.953846153846154
188,digestive_filaments,1,0.0153846153846154,gastrodermis,0.953846153846154
188,host_cells,1,0.0153846153846154,gastrodermis,0.953846153846154
164,gastrodermis,40,0.952380952380952,gastrodermis,0.952380952380952
164,immune_2,1,0.0238095238095238,gastrodermis,0.952380952380952
164,host_cells,1,0.0238095238095238,gastrodermis,0.952380952380952
150,gastrodermis,51,0.944444444444444,gastrodermis,0.944444444444444
150,host_cells,2,0.037037037037037,gastrodermis,0.944444444444444
150,neuron_2,1,0.0185185185185185,gastrodermis,0.944444444444444
10,gastrodermis,45,0.9375,gastrodermis,0.9375
10,neuron_8,1,0.0208333333333333,gastrodermis,0.9375
10,gland_3_digestive,1,0.0208333333333333,gastrodermis,0.9375
10,gastrodermis_musclelike,1,0.0208333333333333,gastrodermis,0.9375
178,gastrodermis,39,0.928571428571429,gastrodermis,0.928571428571429
178,host_cells,1,0.0238095238095238,gastrodermis,0.928571428571429
178,gastrodermis_musclelike,1,0.0238095238095238,gastrodermis,0.928571428571429
178,gland_10,1,0.0238095238095238,gastrodermis,0.928571428571429
212,gastrodermis,13,0.928571428571429,gastrodermis,0.928571428571429
212,mitotic_host_cells,1,0.0714285714285714,gastrodermis,0.928571428571429
159,gastrodermis,36,0.923076923076923,gastrodermis,0.923076923076923
159,host_cells,3,0.0769230769230769,gastrodermis,0.923076923076923
161,gastrodermis,60,0.909090909090909,gastrodermis,0.909090909090909
161,host_cells,2,0.0303030303030303,gastrodermis,0.909090909090909
161,digestive_filaments,1,0.0151515151515152,gastrodermis,0.909090909090909
161,neuron_5,1,0.0151515151515152,gastrodermis,0.909090909090909
161,epidermis_2,1,0.0151515151515152,gastrodermis,0.909090909090909
161,immune_1,1,0.0151515151515152,gastrodermis,0.909090909090909
175,gastrodermis,59,0.907692307692308,gastrodermis,0.907692307692308
175,host_cells,3,0.0461538461538462,gastrodermis,0.907692307692308
175,neuron_13,1,0.0153846153846154,gastrodermis,0.907692307692308
175,epidermis_1,1,0.0153846153846154,gastrodermis,0.907692307692308
175,neuron_5,1,0.0153846153846154,gastrodermis,0.907692307692308
215,gastrodermis,42,0.893617021276596,gastrodermis,0.893617021276596
215,host_cells,3,0.0638297872340426,gastrodermis,0.893617021276596
215,gland_10,1,0.0212765957446809,gastrodermis,0.893617021276596
215,mitotic_host_cells,1,0.0212765957446809,gastrodermis,0.893617021276596
184,gastrodermis,50,0.892857142857143,gastrodermis,0.892857142857143
184,gastrodermis_musclelike,3,0.0535714285714286,gastrodermis,0.892857142857143
184,neuron_13,1,0.0178571428571429,gastrodermis,0.892857142857143
184,host_cells,1,0.0178571428571429,gastrodermis,0.892857142857143
184,neuron_10,1,0.0178571428571429,gastrodermis,0.892857142857143
214,gastrodermis,32,0.888888888888889,gastrodermis,0.888888888888889
214,host_cells,4,0.111111111111111,gastrodermis,0.888888888888889
208,gastrodermis,31,0.885714285714286,gastrodermis,0.885714285714286
208,neuron_11,1,0.0285714285714286,gastrodermis,0.885714285714286
208,epidermis_2,1,0.0285714285714286,gastrodermis,0.885714285714286
208,digestive_filaments,1,0.0285714285714286,gastrodermis,0.885714285714286
208,neuron_5,1,0.0285714285714286,gastrodermis,0.885714285714286
181,gastrodermis,53,0.883333333333333,gastrodermis,0.883333333333333
181,mitotic_host_cells,1,0.0166666666666667,gastrodermis,0.883333333333333
181,host_cells,1,0.0166666666666667,gastrodermis,0.883333333333333
181,immune_1,1,0.0166666666666667,gastrodermis,0.883333333333333
181,epidermis_1,1,0.0166666666666667,gastrodermis,0.883333333333333
181,gland_10,1,0.0166666666666667,gastrodermis,0.883333333333333
181,digestive_filaments,1,0.0166666666666667,gastrodermis,0.883333333333333
181,neuron_14,1,0.0166666666666667,gastrodermis,0.883333333333333
1,gastrodermis,40,0.869565217391304,gastrodermis,0.869565217391304
1,digestive_filaments,3,0.0652173913043478,gastrodermis,0.869565217391304
1,host_cells,2,0.0434782608695652,gastrodermis,0.869565217391304
1,epidermis_1,1,0.0217391304347826,gastrodermis,0.869565217391304
176,gastrodermis,46,0.867924528301887,gastrodermis,0.867924528301887
176,host_cells,3,0.0566037735849057,gastrodermis,0.867924528301887
176,epidermis_1,2,0.0377358490566038,gastrodermis,0.867924528301887
176,gland_3_digestive,1,0.0188679245283019,gastrodermis,0.867924528301887
176,digestive_filaments,1,0.0188679245283019,gastrodermis,0.867924528301887
211,gastrodermis,6,0.857142857142857,gastrodermis,0.857142857142857
211,host_cells,1,0.142857142857143,gastrodermis,0.857142857142857
177,gastrodermis,35,0.833333333333333,gastrodermis,0.833333333333333
177,gastrodermis_musclelike,2,0.0476190476190476,gastrodermis,0.833333333333333
177,neuron_14,1,0.0238095238095238,gastrodermis,0.833333333333333
177,neuron_10,1,0.0238095238095238,gastrodermis,0.833333333333333
177,gland_8,1,0.0238095238095238,gastrodermis,0.833333333333333
