cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WASP0002156	497	38	784	214616	210
WASP0002159	154	72	610	38149	45
WASP0002160	987	38	784	214616	210
WASP0002161	537	131	611	115387	143
WASP0002163	727	17	1067	192106	133
WASP0002165	1485	38	784	214616	210
WASP0002166	3483	24	790.5	53527	54
WASP0002167	960	131	611	115387	143
WASP0002168	4196	12	1302	233680	149
WASP0002169	1185	38	784	214616	210
WASP0002170	1358	38	784	214616	210
WASP0002173	2937	74	1511	114474	68
WASP0002174	1046	21	1182	161152	113
WASP0002175	276	128	552	92074	137
WASP0002177	307	128	552	92074	137
WASP0002178	809	38	784	214616	210
WASP0002179	610	72	610	38149	45
WASP0002180	1564	12	1302	233680	149
WASP0002181	1383	142	1339	276418	157
WASP0002182	2337	183	1442.5	142073	84
WASP0002183	2186	31	1199.5	130477	86
WASP0002184	1440	37	781	99065	103
WASP0002185	654	17	1067	192106	133
WASP0002187	3446	12	1302	233680	149
WASP0002188	2375	172	471	45743	70
WASP0002189	593	131	611	115387	143
WASP0002190	1916	12	1302	233680	149
WASP0002191	1049	134	450	67643	109
WASP0002192	903	155	779	91305	93
WASP0002193	1140	142	1339	276418	157
WASP0002194	2097	12	1302	233680	149
WASP0002195	1778	17	1067	192106	133
WASP0002196	1478	142	1339	276418	157
WASP0002197	475	39	931.5	85222	78
WASP0002198	1212	37	781	99065	103
WASP0002199	637	4	1157.5	87437	66
WASP0002200	2522	12	1302	233680	149
WASP0002202	301	134	450	67643	109
WASP0002203	1136	24	790.5	53527	54
WASP0002204	1810	17	1067	192106	133
WASP0002205	155	164	702	73584	79
WASP0002207	812	72	610	38149	45
WASP0002208	1281	21	1182	161152	113
WASP0002209	500	176	526	99363	127
WASP0002210	803	41	850	83256	81
WASP0002211	526	34	922	121592	109
WASP0002212	570	131	611	115387	143
WASP0002213	126	137	263.5	21691	62
WASP0002214	1559	41	850	83256	81
WASP0002215	599	131	611	115387	143
WASP0002216	1453	21	1182	161152	113
WASP0002217	2055	21	1182	161152	113
WASP0002218	186	126	571	46857	75
WASP0002220	136	137	263.5	21691	62
WASP0002224	3424	34	922	121592	109
WASP0002225	251	69	413.5	21320	42
WASP0002226	454	131	611	115387	143
WASP0002227	1104	147	916	124136	105
WASP0002228	310	134	450	67643	109
WASP0002229	1099	24	790.5	53527	54
WASP0002230	207	54	360	24509	61
WASP0002231	640	85	365	50717	117
WASP0002232	279	38	784	214616	210
WASP0002233	251	111	519	41697	71
WASP0002234	2964	131	611	115387	143
WASP0002235	3068	179	572.5	93784	122
WASP0002236	735	165	504	12877	21
WASP0002237	1242	17	1067	192106	133
WASP0002238	1526	38	784	214616	210
WASP0002239	384	72	610	38149	45
WASP0002240	659	38	784	214616	210
WASP0002242	784	41	850	83256	81
WASP0002243	2218	17	1067	192106	133
WASP0002244	144	134	450	67643	109
WASP0002245	921	131	611	115387	143
WASP0002248	1024	134	450	67643	109
WASP0002249	3066	38	784	214616	210
WASP0002250	1680	21	1182	161152	113
WASP0002251	1770	163	1019.5	112941	96
WASP0002252	1616	17	1067	192106	133
WASP0002253	193	131	611	115387	143
WASP0002254	412	17	1067	192106	133
WASP0002255	492	72	610	38149	45
WASP0002256	1033	38	784	214616	210
WASP0002257	227	134	450	67643	109
WASP0002258	1158	134	450	67643	109
WASP0002259	484	17	1067	192106	133
WASP0002260	634	41	850	83256	81
WASP0002261	566	17	1067	192106	133
WASP0002263	1253	72	610	38149	45
WASP0002265	2257	12	1302	233680	149
WASP0002269	690	83	431	47460	99
WASP0002271	399	72	610	38149	45
WASP0002272	516	140	875.5	158338	118
WASP0002274	652	113	1652	260956	141
WASP0002275	518	46	482	44826	75
WASP0002277	752	134	450	67643	109
WASP0002278	613	34	922	121592	109
WASP0002279	1224	131	611	115387	143
WASP0002280	1212	38	784	214616	210
WASP0002281	1103	72	610	38149	45
WASP0002282	2104	143	1741.5	229498	112
WASP0002283	854	34	922	121592	109
WASP0002286	1073	38	784	214616	210
WASP0002287	349	72	610	38149	45
WASP0002288	1240	131	611	115387	143
WASP0002289	331	26	629.5	43255	58
WASP0002290	2262	100	581.5	33070	32
WASP0002291	1202	17	1067	192106	133
WASP0002292	587	131	611	115387	143
WASP0002295	771	38	784	214616	210
WASP0002296	2679	131	611	115387	143
WASP0002298	1737	131	611	115387	143
WASP0002299	540	34	922	121592	109
WASP0002301	2349	24	790.5	53527	54
WASP0002302	4330	12	1302	233680	149
WASP0002303	711	134	450	67643	109
WASP0002304	598	48	648.5	60563	60
WASP0002306	1304	131	611	115387	143
WASP0002307	1431	38	784	214616	210
WASP0002308	1697	131	611	115387	143
WASP0002309	202	72	610	38149	45
WASP0002311	1325	12	1302	233680	149
WASP0002313	1525	147	916	124136	105
WASP0002315	735	38	784	214616	210
WASP0002316	3308	142	1339	276418	157
WASP0002318	393	169	961	68620	65
WASP0002319	6506	72	610	38149	45
WASP0002320	1484	21	1182	161152	113
WASP0002321	2722	21	1182	161152	113
WASP0002322	491	131	611	115387	143
WASP0002323	790	38	784	214616	210
WASP0002324	801	39	931.5	85222	78
WASP0002325	573	37	781	99065	103
WASP0002326	924	17	1067	192106	133
WASP0002327	1448	116	1054	131358	101
WASP0002329	261	100	581.5	33070	32
WASP0002330	344	131	611	115387	143
WASP0002333	294	117	1137	186581	133
WASP0002334	631	131	611	115387	143
WASP0002335	202	160	1158	127044	94
WASP0002338	920	184	793.5	96606	80
WASP0002341	1010	21	1182	161152	113
WASP0002343	1118	21	1182	161152	113
WASP0002344	648	131	611	115387	143
WASP0002345	1090	58	1751	156246	79
WASP0002348	5691	21	1182	161152	113
WASP0002350	530	5	745	73478	87
WASP0002351	554	72	610	38149	45
WASP0002352	1233	34	922	121592	109
WASP0002353	495	38	784	214616	210
WASP0002354	329	131	611	115387	143
WASP0002355	212	134	450	67643	109
WASP0002356	3110	148	1650.5	267633	132
WASP0002358	2035	176	526	99363	127
WASP0002360	358	116	1054	131358	101
WASP0002361	1318	3	1134	102894	82
WASP0002362	687	21	1182	161152	113
WASP0002363	694	131	611	115387	143
WASP0002364	1089	38	784	214616	210
WASP0002365	859	37	781	99065	103
WASP0002366	502	12	1302	233680	149
WASP0002367	556	119	1862	189431	91
WASP0002368	3451	12	1302	233680	149
WASP0002369	1207	39	931.5	85222	78
WASP0002371	1057	131	611	115387	143
WASP0002372	1709	17	1067	192106	133
WASP0002373	667	161	616	66025	82
WASP0002375	1485	38	784	214616	210
WASP0002376	1830	148	1650.5	267633	132
WASP0002377	1030	41	850	83256	81
WASP0002379	2624	175	500	52234	77
WASP0002380	637	131	611	115387	143
WASP0002383	283	72	610	38149	45
WASP0003001	630	49	1258	156197	110
WASP0003002	456	12	1302	233680	149
WASP0003003	1218	34	922	121592	109
WASP0003005	1136	131	611	115387	143
WASP0003008	1761	34	922	121592	109
WASP0003009	583	17	1067	192106	133
WASP0003010	621	155	779	91305	93
WASP0003011	854	170	777.5	104767	102
WASP0003012	2359	7	2359	342285	131
WASP0003014	288	54	360	24509	61
WASP0003015	1768	100	581.5	33070	32
WASP0003016	2517	155	779	91305	93
WASP0003017	960	39	931.5	85222	78
WASP0003018	722	115	1035	103179	89
WASP0003020	1505	41	850	83256	81
WASP0003021	2008	12	1302	233680	149
WASP0003022	947	155	779	91305	93
WASP0003023	1002	142	1339	276418	157
WASP0003024	628	80	310	27381	75
WASP0003025	1478	169	961	68620	65
WASP0003026	1196	40	1586	315962	154
WASP0003027	1157	12	1302	233680	149
WASP0003028	868	23	2397.5	423615	158
WASP0003031	954	72	610	38149	45
WASP0003032	1936	12	1302	233680	149
WASP0003034	1304	38	784	214616	210
WASP0003035	852	12	1302	233680	149
WASP0003036	347	147	916	124136	105
WASP0003037	2855	148	1650.5	267633	132
WASP0003038	791	12	1302	233680	149
WASP0003039	1101	24	790.5	53527	54
WASP0003040	1286	113	1652	260956	141
WASP0003041	1324	131	611	115387	143
WASP0003042	285	131	611	115387	143
WASP0003043	732	37	781	99065	103
WASP0003044	1123	34	922	121592	109
WASP0003046	1776	12	1302	233680	149
WASP0003047	512	34	922	121592	109
WASP0003048	941	166	545	69667	87
WASP0003049	1148	155	779	91305	93
WASP0003050	3704	148	1650.5	267633	132
WASP0003051	881	17	1067	192106	133
WASP0003054	1246	12	1302	233680	149
WASP0003055	1594	12	1302	233680	149
WASP0003056	602	38	784	214616	210
WASP0003057	2555	37	781	99065	103
WASP0003060	2690	12	1302	233680	149
WASP0003061	885	134	450	67643	109
WASP0003062	1148	131	611	115387	143
WASP0003063	457	72	610	38149	45
WASP0003065	2448	17	1067	192106	133
WASP0003066	5151	17	1067	192106	133
WASP0003067	474	38	784	214616	210
WASP0003069	717	17	1067	192106	133
WASP0003070	885	113	1652	260956	141
WASP0003071	4281	38	784	214616	210
WASP0003072	1246	134	450	67643	109
WASP0003073	5892	12	1302	233680	149
WASP0003074	3023	24	790.5	53527	54
WASP0003076	516	34	922	121592	109
WASP0003077	1518	10	2496	273387	97
WASP0003078	1067	17	1067	192106	133
WASP0003079	3284	15	2168	218112	89
WASP0003083	1345	12	1302	233680	149
WASP0003084	1048	38	784	214616	210
WASP0003085	967	21	1182	161152	113
WASP0003086	438	17	1067	192106	133
WASP0003087	1079	72	610	38149	45
WASP0003088	359	114	498	40774	75
WASP0003089	1785	38	784	214616	210
WASP0003090	756	124	1409	193314	121
WASP0003091	179	154	720	65608	82
WASP0003092	2479	148	1650.5	267633	132
WASP0003093	410	112	308	31733	81
WASP0003095	618	38	784	214616	210
WASP0003096	2580	12	1302	233680	149
WASP0003097	991	100	581.5	33070	32
WASP0003099	2765	142	1339	276418	157
WASP0003100	314	103	875	167343	155
WASP0003101	1266	17	1067	192106	133
WASP0003103	763	131	611	115387	143
WASP0003104	1049	38	784	214616	210
WASP0003105	1389	27	2189	469279	175
WASP0003106	974	20	1963	273892	115
WASP0003107	741	2	1219	179651	117
WASP0003108	1022	21	1182	161152	113
WASP0003109	1351	38	784	214616	210
WASP0003110	731	37	781	99065	103
WASP0003111	1765	142	1339	276418	157
WASP0003113	1652	17	1067	192106	133
WASP0003114	972	41	850	83256	81
WASP0003116	1694	148	1650.5	267633	132
WASP0003117	680	37	781	99065	103
WASP0003118	803	131	611	115387	143
WASP0003119	227	156	1144	121698	101
WASP0003121	3411	38	784	214616	210
WASP0003122	807	131	611	115387	143
WASP0003123	2015	24	790.5	53527	54
WASP0003124	627	38	784	214616	210
WASP0003125	1545	124	1409	193314	121
WASP0003126	944	167	718.5	36030	46
WASP0003127	907	72	610	38149	45
WASP0003128	306	110	603	28277	44
WASP0003130	2181	41	850	83256	81
WASP0003131	682	16	1760	149986	78
WASP0003132	1884	21	1182	161152	113
WASP0003133	1420	12	1302	233680	149
WASP0003135	785	34	922	121592	109
WASP0003136	1740	38	784	214616	210
WASP0003138	1124	38	784	214616	210
WASP0003139	1603	41	850	83256	81
WASP0003140	1065	179	572.5	93784	122
WASP0003141	1302	21	1182	161152	113
WASP0003142	1038	86	1055	73941	57
WASP0003143	571	72	610	38149	45
WASP0003144	1360	26	629.5	43255	58
WASP0003145	435	134	450	67643	109
WASP0003146	992	37	781	99065	103
WASP0003147	545	131	611	115387	143
WASP0003148	2866	142	1339	276418	157
WASP0003149	838	154	720	65608	82
WASP0003151	576	40	1586	315962	154
WASP0003152	2902	12	1302	233680	149
WASP0003153	1003	134	450	67643	109
WASP0003154	1027	21	1182	161152	113
WASP0003156	522	61	756	37130	45
WASP0003157	1366	17	1067	192106	133
WASP0003158	595	38	784	214616	210
WASP0003159	156	72	610	38149	45
WASP0003160	1646	32	1670	166169	91
WASP0003164	326	132	1099	220590	178
WASP0003165	1270	21	1182	161152	113
WASP0003166	453	37	781	99065	103
WASP0003167	998	72	610	38149	45
WASP0003168	687	137	263.5	21691	62
WASP0003169	2534	17	1067	192106	133
WASP0003170	1693	17	1067	192106	133
WASP0003171	273	155	779	91305	93
WASP0003173	957	38	784	214616	210
WASP0003174	384	179	572.5	93784	122
WASP0003175	1230	72	610	38149	45
WASP0003177	650	131	611	115387	143
WASP0003178	928	34	922	121592	109
WASP0003180	1754	21	1182	161152	113
WASP0003181	1242	41	850	83256	81
WASP0003182	1747	12	1302	233680	149
WASP0003183	1981	2	1219	179651	117
WASP0003184	1941	142	1339	276418	157
WASP0003185	1619	38	784	214616	210
WASP0003186	2031	131	611	115387	143
WASP0003187	613	59	417.5	16962	34
WASP0003189	1610	17	1067	192106	133
WASP0003190	746	167	718.5	36030	46
WASP0003191	190	72	610	38149	45
WASP0003192	416	154	720	65608	82
WASP0003193	1244	24	790.5	53527	54
WASP0003194	389	117	1137	186581	133
WASP0003195	423	40	1586	315962	154
WASP0003196	361	17	1067	192106	133
