cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WASP0001001	394	155	779	91305	93
WASP0001002	1058	134	450	67643	109
WASP0001003	1412	38	784	214616	210
WASP0001005	523	12	1302	233680	149
WASP0001007	1737	12	1302	233680	149
WASP0001008	673	34	922	121592	109
WASP0001010	998	38	784	214616	210
WASP0001011	679	131	611	115387	143
WASP0001014	555	17	1067	192106	133
WASP0001015	856	34	922	121592	109
WASP0001016	597	21	1182	161152	113
WASP0001017	761	24	790.5	53527	54
WASP0001018	222	126	571	46857	75
WASP0001019	538	78	752	56621	57
WASP0001020	2192	148	1650.5	267633	132
WASP0001021	354	46	482	44826	75
WASP0001022	935	132	1099	220590	178
WASP0001024	2316	131	611	115387	143
WASP0001028	2064	40	1586	315962	154
WASP0001030	626	38	784	214616	210
WASP0001031	1990	38	784	214616	210
WASP0001032	1596	34	922	121592	109
WASP0001033	2090	17	1067	192106	133
WASP0001034	203	155	779	91305	93
WASP0001035	773	168	689.5	12798	16
WASP0001036	386	100	581.5	33070	32
WASP0001037	2017	34	922	121592	109
WASP0001038	1000	41	850	83256	81
WASP0001039	2013	24	790.5	53527	54
WASP0001040	840	131	611	115387	143
WASP0001041	838	163	1019.5	112941	96
WASP0001042	1891	38	784	214616	210
WASP0001043	181	128	552	92074	137
WASP0001044	576	177	541	91415	111
WASP0001045	2900	140	875.5	158338	118
WASP0001047	136	72	610	38149	45
WASP0001048	3387	17	1067	192106	133
WASP0001049	2141	134	450	67643	109
WASP0001050	349	134	450	67643	109
WASP0001054	3813	12	1302	233680	149
WASP0001055	825	21	1182	161152	113
WASP0001056	572	131	611	115387	143
WASP0001058	377	38	784	214616	210
WASP0001059	198	61	756	37130	45
WASP0001060	363	113	1652	260956	141
WASP0001061	360	38	784	214616	210
WASP0001062	1719	142	1339	276418	157
WASP0001063	716	17	1067	192106	133
WASP0001064	1902	157	1168	173678	128
WASP0001065	928	142	1339	276418	157
WASP0001066	1065	176	526	99363	127
WASP0001067	583	38	784	214616	210
WASP0001068	440	173	523	69516	98
WASP0001069	3964	12	1302	233680	149
WASP0001070	1115	109	707.5	44414	58
WASP0001071	805	72	610	38149	45
WASP0001072	1088	12	1302	233680	149
WASP0001073	277	26	629.5	43255	58
WASP0001074	528	64	814	63307	67
WASP0001076	418	32	1670	166169	91
WASP0001077	504	38	784	214616	210
WASP0001078	997	37	781	99065	103
WASP0001079	891	72	610	38149	45
WASP0001080	577	134	450	67643	109
WASP0001081	933	37	781	99065	103
WASP0001082	580	134	450	67643	109
WASP0001084	192	149	1041.5	83436	68
WASP0001085	764	134	450	67643	109
WASP0001086	584	38	784	214616	210
WASP0001087	341	72	610	38149	45
WASP0001088	544	38	784	214616	210
WASP0001090	1225	38	784	214616	210
WASP0001091	1555	34	922	121592	109
WASP0001092	1151	38	784	214616	210
WASP0001093	255	166	545	69667	87
WASP0001094	930	21	1182	161152	113
WASP0001095	664	72	610	38149	45
WASP0001096	291	134	450	67643	109
WASP0001097	1823	12	1302	233680	149
WASP0001098	2879	12	1302	233680	149
WASP0001099	231	38	784	214616	210
WASP0001100	294	131	611	115387	143
WASP0001101	191	153	2086.5	170742	62
WASP0001102	224	134	450	67643	109
WASP0001103	155	134	450	67643	109
WASP0001105	1560	12	1302	233680	149
WASP0001106	1037	165	504	12877	21
WASP0001107	1489	17	1067	192106	133
WASP0001108	2993	100	581.5	33070	32
WASP0001109	486	83	431	47460	99
WASP0001112	2492	12	1302	233680	149
WASP0001113	629	10	2496	273387	97
WASP0001114	933	40	1586	315962	154
WASP0001116	876	67	771	83746	86
WASP0001117	894	12	1302	233680	149
WASP0001118	867	38	784	214616	210
WASP0001119	290	72	610	38149	45
WASP0001120	1790	131	611	115387	143
WASP0001121	210	125	398	19063	37
WASP0001122	4076	10	2496	273387	97
WASP0001123	356	38	784	214616	210
WASP0001124	403	134	450	67643	109
WASP0001125	742	134	450	67643	109
WASP0001126	1710	37	781	99065	103
WASP0001127	481	116	1054	131358	101
WASP0001130	994	17	1067	192106	133
WASP0001131	328	38	784	214616	210
WASP0001133	1907	121	883	147261	147
WASP0001134	341	39	931.5	85222	78
WASP0001136	923	37	781	99065	103
WASP0001138	583	131	611	115387	143
WASP0001139	256	17	1067	192106	133
WASP0001141	2331	12	1302	233680	149
WASP0001142	2511	47	1944	161951	79
WASP0001143	1191	72	610	38149	45
WASP0001144	1383	17	1067	192106	133
WASP0001145	652	155	779	91305	93
WASP0001146	410	38	784	214616	210
WASP0001147	214	131	611	115387	143
WASP0001148	800	78	752	56621	57
WASP0001149	2475	100	581.5	33070	32
WASP0001151	415	134	450	67643	109
WASP0001152	125	148	1650.5	267633	132
WASP0001153	2244	37	781	99065	103
WASP0001155	1780	17	1067	192106	133
WASP0001157	2065	100	581.5	33070	32
WASP0001158	565	38	784	214616	210
WASP0001159	827	39	931.5	85222	78
WASP0001161	578	40	1586	315962	154
WASP0001165	457	40	1586	315962	154
WASP0001166	410	17	1067	192106	133
WASP0001169	398	17	1067	192106	133
WASP0001170	917	38	784	214616	210
WASP0001171	1399	184	793.5	96606	80
WASP0001172	618	134	450	67643	109
WASP0001174	736	7	2359	342285	131
WASP0001178	319	38	784	214616	210
WASP0001179	756	17	1067	192106	133
WASP0001181	1126	12	1302	233680	149
WASP0001182	309	131	611	115387	143
WASP0001183	711	17	1067	192106	133
WASP0001184	370	37	781	99065	103
WASP0001185	616	38	784	214616	210
WASP0001186	898	38	784	214616	210
WASP0001187	260	116	1054	131358	101
WASP0001189	714	169	961	68620	65
WASP0001190	938	41	850	83256	81
WASP0001191	199	72	610	38149	45
WASP0001192	1413	21	1182	161152	113
WASP0001193	184	128	552	92074	137
WASP0001196	634	37	781	99065	103
WASP0001198	800	131	611	115387	143
WASP0001199	568	100	581.5	33070	32
WASP0001200	148	165	504	12877	21
WASP0001201	300	167	718.5	36030	46
WASP0001202	712	134	450	67643	109
WASP0001203	1141	40	1586	315962	154
WASP0001204	289	54	360	24509	61
WASP0001206	241	151	863.5	76501	80
WASP0001207	1137	12	1302	233680	149
WASP0001208	1406	12	1302	233680	149
WASP0001210	198	134	450	67643	109
WASP0001211	2698	131	611	115387	143
WASP0001212	849	41	850	83256	81
WASP0001213	941	38	784	214616	210
WASP0001214	140	131	611	115387	143
WASP0001215	829	72	610	38149	45
WASP0001218	419	111	519	41697	71
WASP0001219	2023	100	581.5	33070	32
WASP0001220	2112	131	611	115387	143
WASP0001222	417	51	990.5	89042	80
WASP0001224	785	148	1650.5	267633	132
WASP0001227	584	116	1054	131358	101
WASP0001228	269	32	1670	166169	91
WASP0001229	1714	12	1302	233680	149
WASP0001232	1298	116	1054	131358	101
WASP0001233	1316	17	1067	192106	133
WASP0001234	294	1	418	45590	57
WASP0001235	1308	21	1182	161152	113
WASP0001236	1212	17	1067	192106	133
WASP0001237	771	37	781	99065	103
WASP0001238	2251	177	541	91415	111
WASP0001239	2415	34	922	121592	109
WASP0001240	589	156	1144	121698	101
WASP0001241	464	17	1067	192106	133
WASP0001242	1597	21	1182	161152	113
WASP0001243	674	38	784	214616	210
WASP0001245	304	134	450	67643	109
WASP0001246	701	155	779	91305	93
WASP0001247	797	72	610	38149	45
WASP0001248	1558	38	784	214616	210
WASP0001249	982	179	572.5	93784	122
WASP0001250	420	51	990.5	89042	80
WASP0001251	756	158	1611	221150	105
WASP0001252	407	134	450	67643	109
WASP0001253	1041	131	611	115387	143
WASP0001255	742	38	784	214616	210
WASP0001256	159	137	263.5	21691	62
WASP0001257	1325	38	784	214616	210
WASP0001260	1772	37	781	99065	103
WASP0001261	1586	155	779	91305	93
WASP0001263	158	54	360	24509	61
WASP0001265	499	17	1067	192106	133
WASP0001266	833	17	1067	192106	133
WASP0001267	1400	37	781	99065	103
WASP0001269	450	134	450	67643	109
WASP0001271	283	72	610	38149	45
WASP0001273	431	37	781	99065	103
WASP0001274	184	134	450	67643	109
WASP0001275	2375	184	793.5	96606	80
WASP0001276	464	34	922	121592	109
WASP0001277	530	38	784	214616	210
WASP0001278	285	38	784	214616	210
WASP0001279	2666	12	1302	233680	149
WASP0001280	637	38	784	214616	210
WASP0001281	997	5	745	73478	87
WASP0001282	1064	38	784	214616	210
WASP0001284	439	128	552	92074	137
WASP0001285	3285	131	611	115387	143
WASP0001286	1272	38	784	214616	210
WASP0001288	1138	24	790.5	53527	54
WASP0001290	393	17	1067	192106	133
WASP0001291	1263	12	1302	233680	149
WASP0001292	180	114	498	40774	75
WASP0001294	2194	159	1526	261603	152
WASP0001295	353	17	1067	192106	133
WASP0001299	425	131	611	115387	143
WASP0001300	2516	21	1182	161152	113
WASP0001301	979	34	922	121592	109
WASP0001302	460	38	784	214616	210
WASP0001304	599	41	850	83256	81
WASP0001305	417	168	689.5	12798	16
WASP0001307	309	179	572.5	93784	122
WASP0001310	451	21	1182	161152	113
WASP0001311	704	155	779	91305	93
WASP0001312	1195	38	784	214616	210
WASP0001313	2641	149	1041.5	83436	68
WASP0001315	816	167	718.5	36030	46
WASP0001318	574	134	450	67643	109
WASP0001319	2678	72	610	38149	45
WASP0001320	140	34	922	121592	109
WASP0001321	1031	131	611	115387	143
WASP0001322	593	82	1566	185719	88
WASP0001323	663	38	784	214616	210
WASP0001324	421	134	450	67643	109
WASP0001325	2138	148	1650.5	267633	132
WASP0001326	550	34	922	121592	109
WASP0001327	1606	159	1526	261603	152
WASP0001328	3266	79	1736.5	278774	134
WASP0001329	464	179	572.5	93784	122
WASP0001331	474	131	611	115387	143
WASP0001333	727	17	1067	192106	133
WASP0001334	556	15	2168	218112	89
WASP0001335	1173	24	790.5	53527	54
WASP0001336	1813	34	922	121592	109
WASP0001337	525	52	545	53240	75
WASP0001338	567	131	611	115387	143
WASP0001339	1717	37	781	99065	103
WASP0001340	1298	158	1611	221150	105
WASP0001341	887	34	922	121592	109
WASP0001342	2828	43	1701	211166	111
WASP0001343	730	37	781	99065	103
WASP0001344	473	38	784	214616	210
WASP0001346	1050	160	1158	127044	94
WASP0001347	247	113	1652	260956	141
WASP0001348	460	128	552	92074	137
WASP0001349	2399	12	1302	233680	149
WASP0001350	351	131	611	115387	143
WASP0001351	586	72	610	38149	45
WASP0001353	1804	148	1650.5	267633	132
WASP0001354	774	65	894	46616	43
WASP0001357	218	99	241	5089	17
WASP0001358	1454	12	1302	233680	149
WASP0001360	665	131	611	115387	143
WASP0001361	913	38	784	214616	210
WASP0001363	1106	34	922	121592	109
WASP0001364	4165	17	1067	192106	133
WASP0001365	1257	155	779	91305	93
WASP0001366	1883	100	581.5	33070	32
WASP0001367	1203	21	1182	161152	113
WASP0001368	926	21	1182	161152	113
WASP0001369	4601	12	1302	233680	149
WASP0001370	955	119	1862	189431	91
WASP0001371	649	38	784	214616	210
WASP0001373	630	12	1302	233680	149
WASP0001374	487	123	1286	112679	81
WASP0001375	133	101	610	44351	67
WASP0001377	830	131	611	115387	143
WASP0001378	606	131	611	115387	143
WASP0001383	674	24	790.5	53527	54
WASP0001384	394	171	594	24666	39
WASP0002001	306	131	611	115387	143
WASP0002002	509	115	1035	103179	89
WASP0002005	759	38	784	214616	210
WASP0002006	2347	21	1182	161152	113
WASP0002007	1488	12	1302	233680	149
WASP0002008	4081	38	784	214616	210
WASP0002009	249	131	611	115387	143
WASP0002010	657	38	784	214616	210
WASP0002011	1100	38	784	214616	210
WASP0002012	1593	17	1067	192106	133
WASP0002013	1993	38	784	214616	210
WASP0002014	2406	25	2056.5	215195	94
WASP0002015	1101	38	784	214616	210
WASP0002016	2301	38	784	214616	210
WASP0002017	583	59	417.5	16962	34
WASP0002018	307	162	751.5	53359	52
WASP0002020	470	26	629.5	43255	58
WASP0002021	1736	10	2496	273387	97
WASP0002025	1245	142	1339	276418	157
WASP0002026	2807	17	1067	192106	133
WASP0002029	561	40	1586	315962	154
WASP0002030	273	131	611	115387	143
WASP0002031	524	72	610	38149	45
WASP0002033	1648	37	781	99065	103
WASP0002035	145	116	1054	131358	101
WASP0002036	370	41	850	83256	81
WASP0002037	465	52	545	53240	75
WASP0002039	1192	72	610	38149	45
WASP0002040	391	38	784	214616	210
WASP0002041	1074	135	989	43812	35
WASP0002042	211	140	875.5	158338	118
WASP0002043	1220	142	1339	276418	157
WASP0002044	2191	38	784	214616	210
WASP0002045	1174	154	720	65608	82
WASP0002046	114	99	241	5089	17
WASP0002047	255	72	610	38149	45
WASP0002048	312	166	545	69667	87
WASP0002050	1791	34	922	121592	109
WASP0002052	1088	17	1067	192106	133
WASP0002055	1073	72	610	38149	45
WASP0002056	1380	131	611	115387	143
WASP0002057	2174	38	784	214616	210
WASP0002058	2015	37	781	99065	103
WASP0002060	1597	17	1067	192106	133
WASP0002061	1233	38	784	214616	210
WASP0002063	214	72	610	38149	45
WASP0002066	4877	12	1302	233680	149
WASP0002067	130	116	1054	131358	101
WASP0002068	1516	12	1302	233680	149
WASP0002069	579	65	894	46616	43
WASP0002072	564	128	552	92074	137
WASP0002073	537	15	2168	218112	89
WASP0002075	228	134	450	67643	109
WASP0002078	298	134	450	67643	109
WASP0002079	840	142	1339	276418	157
WASP0002080	2327	38	784	214616	210
WASP0002082	1918	12	1302	233680	149
WASP0002083	3399	4	1157.5	87437	66
WASP0002085	1421	113	1652	260956	141
WASP0002088	933	131	611	115387	143
WASP0002089	1081	38	784	214616	210
WASP0002090	539	37	781	99065	103
WASP0002091	1179	38	784	214616	210
WASP0002093	117	169	961	68620	65
WASP0002095	1231	72	610	38149	45
WASP0002096	1818	41	850	83256	81
WASP0002097	1288	17	1067	192106	133
WASP0002100	1025	17	1067	192106	133
WASP0002102	997	37	781	99065	103
WASP0002103	1467	100	581.5	33070	32
WASP0002104	1643	37	781	99065	103
WASP0002107	471	131	611	115387	143
WASP0002108	554	37	781	99065	103
WASP0002110	906	39	931.5	85222	78
WASP0002111	886	17	1067	192106	133
WASP0002112	1326	134	450	67643	109
WASP0002113	759	168	689.5	12798	16
WASP0002114	1331	34	922	121592	109
WASP0002116	745	59	417.5	16962	34
WASP0002117	554	157	1168	173678	128
WASP0002118	120	126	571	46857	75
WASP0002119	1140	21	1182	161152	113
WASP0002121	1635	40	1586	315962	154
WASP0002122	901	131	611	115387	143
WASP0002123	105	93	287.5	18059	54
WASP0002124	725	131	611	115387	143
WASP0002125	1983	17	1067	192106	133
WASP0002127	392	38	784	214616	210
WASP0002128	635	116	1054	131358	101
WASP0002129	2169	17	1067	192106	133
WASP0002131	1079	131	611	115387	143
WASP0002133	1751	34	922	121592	109
WASP0002134	566	17	1067	192106	133
WASP0002137	1513	17	1067	192106	133
WASP0002138	1024	142	1339	276418	157
WASP0002139	2484	17	1067	192106	133
WASP0002140	667	80	310	27381	75
WASP0002141	2417	25	2056.5	215195	94
WASP0002143	732	72	610	38149	45
WASP0002144	782	41	850	83256	81
WASP0002145	559	21	1182	161152	113
WASP0002146	1751	12	1302	233680	149
WASP0002149	2582	34	922	121592	109
WASP0002150	543	67	771	83746	86
WASP0002151	966	134	450	67643	109
WASP0002152	1614	116	1054	131358	101
