cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	405	7244	8587	3666	21.2024691358025	ORIGINAL
WASP0001002	1127	18123	22564	8997	20.0212954747116	ORIGINAL
WASP0001003	1728	36781	39076	14157	22.6134259259259	ORIGINAL
WASP0001004	22	288	84	29	3.81818181818182	ORIGINAL
WASP0001005	584	10048	10989	4067	18.8167808219178	ORIGINAL
WASP0001007	1863	32221	40763	17099	21.8803005904455	ORIGINAL
WASP0001008	1035	20395	20379	6786	19.6898550724638	ORIGINAL
WASP0001009	27	431	530	208	19.6296296296296	ORIGINAL
WASP0001010	1513	25566	31079	11566	20.5413086582948	ORIGINAL
WASP0001011	759	13503	16969	7033	22.3570487483531	ORIGINAL
WASP0001014	555	9345	12745	5694	22.963963963964	ORIGINAL
WASP0001015	956	17361	21499	8728	22.4884937238494	ORIGINAL
WASP0001016	678	12628	14902	5937	21.9793510324484	ORIGINAL
WASP0001017	891	17141	19122	7242	21.4612794612795	ORIGINAL
WASP0001018	255	5091	5038	2083	19.756862745098	ORIGINAL
WASP0001019	676	11617	14030	5487	20.7544378698225	ORIGINAL
WASP0001020	2283	32850	39609	16527	17.3495400788436	ORIGINAL
WASP0001021	396	7386	7787	3040	19.6641414141414	ORIGINAL
WASP0001022	1121	21500	23429	8936	20.900089206066	ORIGINAL
WASP0001024	2581	45288	56464	22765	21.8767919411081	ORIGINAL
WASP0001028	2233	36709	48330	20541	21.6435288849082	ORIGINAL
WASP0001030	690	11744	15319	6525	22.2014492753623	ORIGINAL
WASP0001031	2384	41517	49798	18621	20.8884228187919	ORIGINAL
WASP0001032	1864	33684	38871	15080	20.8535407725322	ORIGINAL
WASP0001033	2236	33795	44932	19413	20.0948121645796	ORIGINAL
WASP0001034	428	8573	8714	2552	20.3598130841122	ORIGINAL
WASP0001035	891	15752	18861	7742	21.1683501683502	ORIGINAL
WASP0001036	495	9823	10753	3684	21.7232323232323	ORIGINAL
WASP0001037	2066	32935	45312	20171	21.9322362052275	ORIGINAL
WASP0001038	1093	19279	23874	10171	21.8426349496798	ORIGINAL
WASP0001039	2208	37768	49897	21174	22.5982789855072	ORIGINAL
WASP0001040	842	13679	17940	7543	21.3064133016627	ORIGINAL
WASP0001041	942	18170	21107	8928	22.4065817409766	ORIGINAL
WASP0001042	2084	37025	43711	17252	20.9745681381958	ORIGINAL
WASP0001043	378	8644	8113	2023	21.462962962963	ORIGINAL
WASP0001044	653	11404	13945	5562	21.3552833078101	ORIGINAL
WASP0001045	3500	63266	74725	28695	21.35	ORIGINAL
WASP0001047	215	4016	4688	1460	21.8046511627907	ORIGINAL
WASP0001048	3313	50383	73005	33128	22.03591910655	ORIGINAL
WASP0001049	2417	49037	48489	16922	20.0616466694249	ORIGINAL
WASP0001050	415	7664	9089	3558	21.9012048192771	ORIGINAL
WASP0001054	4213	64900	90718	38801	21.5328744362687	ORIGINAL
WASP0001055	817	13005	18534	8302	22.6854345165239	ORIGINAL
WASP0001056	580	10055	13021	5349	22.45	ORIGINAL
WASP0001058	384	6429	8414	3677	21.9114583333333	ORIGINAL
WASP0001059	472	9939	10263	3087	21.7436440677966	ORIGINAL
WASP0001060	382	6975	7858	3181	20.5706806282722	ORIGINAL
WASP0001061	525	9716	11921	4452	22.7066666666667	ORIGINAL
WASP0001062	1912	32068	40098	16457	20.9717573221757	ORIGINAL
WASP0001063	757	13628	17489	7060	23.1030383091149	ORIGINAL
WASP0001064	2291	39131	46120	18471	20.1309471846355	ORIGINAL
