cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	411	6852	8029	3433	19.5352798053528	DS60
WASP0001002	1147	17415	21525	8584	18.7663469921534	DS60
WASP0001003	1705	35048	36962	13236	21.6785923753666	DS60
WASP0001004	21	270	72	26	3.42857142857143	DS60
WASP0001005	575	9608	10488	3901	18.24	DS60
WASP0001007	1857	30174	38211	15945	20.5767366720517	DS60
WASP0001008	1021	19683	19515	6479	19.1136141038198	DS60
WASP0001009	31	391	519	217	16.741935483871	DS60
WASP0001010	1494	24424	29389	10866	19.6713520749665	DS60
WASP0001011	741	12994	16165	6710	21.8151147098516	DS60
WASP0001014	572	9028	12207	5392	21.3409090909091	DS60
WASP0001015	966	16355	20615	8349	21.3405797101449	DS60
WASP0001016	689	11758	13869	5489	20.1291727140784	DS60
WASP0001017	877	16257	18041	6851	20.5712656784493	DS60
WASP0001018	256	4826	4867	2040	19.01171875	DS60
WASP0001019	692	11091	13303	5159	19.2239884393064	DS60
WASP0001020	2262	31554	37720	15748	16.6755083996463	DS60
WASP0001021	408	6980	7681	3042	18.8259803921569	DS60
WASP0001022	1089	20393	21980	8297	20.1836547291093	DS60
WASP0001024	2543	42765	53322	21376	20.968147856862	DS60
WASP0001028	2162	35103	45954	19505	21.2553191489362	DS60
WASP0001030	687	11537	14923	6339	21.7219796215429	DS60
WASP0001031	2366	39414	47289	17662	19.986897717667	DS60
WASP0001032	1866	32105	36788	14125	19.7148981779207	DS60
WASP0001033	2212	32314	42488	18270	19.2079566003617	DS60
WASP0001034	407	8187	8359	2409	20.5380835380835	DS60
WASP0001035	872	14860	17841	7233	20.4598623853211	DS60
WASP0001036	503	9256	10063	3430	20.0059642147117	DS60
WASP0001037	2042	31126	43189	19188	21.1503428011753	DS60
WASP0001038	1075	18544	23101	9835	21.4893023255814	DS60
WASP0001039	2149	35713	47706	20252	22.1991624011168	DS60
WASP0001040	872	13290	17145	7241	19.6616972477064	DS60
WASP0001041	913	17035	19615	8287	21.4841182913472	DS60
