metacell_new,cell_type,N,frac,assigned_cell_type,assigned_frac
157,cnidocyte,47,0.94,cnidocyte,0.94
157,mitotic_host_cells,1,0.02,cnidocyte,0.94
157,gland_3_digestive,1,0.02,cnidocyte,0.94
157,gland_10,1,0.02,cnidocyte,0.94
62,gastrodermis_musclelike,73,0.480263157894737,gastrodermis_musclelike,0.480263157894737
62,gastrodermis,68,0.447368421052632,gastrodermis_musclelike,0.480263157894737
62,digestive_filaments,7,0.0460526315789474,gastrodermis_musclelike,0.480263157894737
62,gland_1,1,0.00657894736842105,gastrodermis_musclelike,0.480263157894737
62,mitotic_host_cells,1,0.00657894736842105,gastrodermis_musclelike,0.480263157894737
62,neuron_11,1,0.00657894736842105,gastrodermis_musclelike,0.480263157894737
62,neuron_14,1,0.00657894736842105,gastrodermis_musclelike,0.480263157894737
4,gastrodermis,120,1,gastrodermis,1
7,gastrodermis,72,1,gastrodermis,1
14,gastrodermis,53,1,gastrodermis,1
23,gastrodermis,95,1,gastrodermis,1
10,gastrodermis,152,0.993464052287582,gastrodermis,0.993464052287582
10,host_cells,1,0.0065359477124183,gastrodermis,0.993464052287582
21,gastrodermis,147,0.993243243243243,gastrodermis,0.993243243243243
21,host_cells,1,0.00675675675675676,gastrodermis,0.993243243243243
17,gastrodermis,111,0.991071428571429,gastrodermis,0.991071428571429
17,cnidocyte,1,0.00892857142857143,gastrodermis,0.991071428571429
45,gastrodermis,108,0.990825688073395,gastrodermis,0.990825688073395
45,cnidocyte,1,0.0091743119266055,gastrodermis,0.990825688073395
42,gastrodermis,107,0.990740740740741,gastrodermis,0.990740740740741
42,cnidocyte,1,0.00925925925925926,gastrodermis,0.990740740740741
30,gastrodermis,87,0.988636363636364,gastrodermis,0.988636363636364
30,digestive_filaments,1,0.0113636363636364,gastrodermis,0.988636363636364
1,gastrodermis,65,0.984848484848485,gastrodermis,0.984848484848485
1,host_cells,1,0.0151515151515152,gastrodermis,0.984848484848485
25,gastrodermis,126,0.984375,gastrodermis,0.984375
25,neuron_11,1,0.0078125,gastrodermis,0.984375
25,neuron_5,1,0.0078125,gastrodermis,0.984375
35,gastrodermis,119,0.983471074380165,gastrodermis,0.983471074380165
35,gastrodermis_musclelike,1,0.00826446280991736,gastrodermis,0.983471074380165
35,cnidocyte,1,0.00826446280991736,gastrodermis,0.983471074380165
44,gastrodermis,115,0.982905982905983,gastrodermis,0.982905982905983
44,host_cells,2,0.0170940170940171,gastrodermis,0.982905982905983
6,gastrodermis,56,0.982456140350877,gastrodermis,0.982456140350877
6,neuron_14,1,0.0175438596491228,gastrodermis,0.982456140350877
38,gastrodermis,106,0.981481481481481,gastrodermis,0.981481481481481
38,neuron_4,1,0.00925925925925926,gastrodermis,0.981481481481481
38,digestive_filaments,1,0.00925925925925926,gastrodermis,0.981481481481481
19,gastrodermis,105,0.981308411214953,gastrodermis,0.981308411214953
19,neuron_12,1,0.00934579439252336,gastrodermis,0.981308411214953
19,neuron_8,1,0.00934579439252336,gastrodermis,0.981308411214953
8,gastrodermis,99,0.98019801980198,gastrodermis,0.98019801980198
8,neuron_11,1,0.0099009900990099,gastrodermis,0.98019801980198
8,cnidocyte,1,0.0099009900990099,gastrodermis,0.98019801980198
34,gastrodermis,95,0.979381443298969,gastrodermis,0.979381443298969
34,host_cells,2,0.0206185567010309,gastrodermis,0.979381443298969
43,gastrodermis,84,0.976744186046512,gastrodermis,0.976744186046512
43,host_cells,1,0.0116279069767442,gastrodermis,0.976744186046512
43,gland_6,1,0.0116279069767442,gastrodermis,0.976744186046512
5,gastrodermis,39,0.975,gastrodermis,0.975
5,neuron_11,1,0.025,gastrodermis,0.975
39,gastrodermis,117,0.975,gastrodermis,0.975
39,neuron_11,1,0.00833333333333333,gastrodermis,0.975
39,neuron_5,1,0.00833333333333333,gastrodermis,0.975
39,host_cells,1,0.00833333333333333,gastrodermis,0.975
63,gastrodermis,171,0.971590909090909,gastrodermis,0.971590909090909
63,germline_sperm,1,0.00568181818181818,gastrodermis,0.971590909090909
63,cnidocyte,1,0.00568181818181818,gastrodermis,0.971590909090909
63,neuron_10,1,0.00568181818181818,gastrodermis,0.971590909090909
63,host_cells,1,0.00568181818181818,gastrodermis,0.971590909090909
63,digestive_filaments,1,0.00568181818181818,gastrodermis,0.971590909090909
28,gastrodermis,102,0.971428571428571,gastrodermis,0.971428571428571
28,calicoblast,1,0.00952380952380953,gastrodermis,0.971428571428571
28,host_cells,1,0.00952380952380953,gastrodermis,0.971428571428571
28,gland_4,1,0.00952380952380953,gastrodermis,0.971428571428571
36,gastrodermis,125,0.968992248062015,gastrodermis,0.968992248062015
36,host_cells,2,0.0155038759689922,gastrodermis,0.968992248062015
36,neuron_11,2,0.0155038759689922,gastrodermis,0.968992248062015
3,gastrodermis,93,0.96875,gastrodermis,0.96875
3,gland_3_digestive,1,0.0104166666666667,gastrodermis,0.96875
3,neuron_9,1,0.0104166666666667,gastrodermis,0.96875
3,digestive_filaments,1,0.0104166666666667,gastrodermis,0.96875
2,gastrodermis,58,0.966666666666667,gastrodermis,0.966666666666667
2,host_cells,2,0.0333333333333333,gastrodermis,0.966666666666667
29,gastrodermis,142,0.965986394557823,gastrodermis,0.965986394557823
29,host_cells,3,0.0204081632653061,gastrodermis,0.965986394557823
29,neuron_12,1,0.00680272108843537,gastrodermis,0.965986394557823
29,neuron_14,1,0.00680272108843537,gastrodermis,0.965986394557823
33,gastrodermis,84,0.96551724137931,gastrodermis,0.96551724137931
33,gastrodermis_musclelike,2,0.0229885057471264,gastrodermis,0.96551724137931
33,neuron_10,1,0.0114942528735632,gastrodermis,0.96551724137931
12,gastrodermis,137,0.964788732394366,gastrodermis,0.964788732394366
12,host_cells,2,0.0140845070422535,gastrodermis,0.964788732394366
12,epidermis_2,1,0.00704225352112676,gastrodermis,0.964788732394366
12,gland_1,1,0.00704225352112676,gastrodermis,0.964788732394366
12,calicoblast,1,0.00704225352112676,gastrodermis,0.964788732394366
15,gastrodermis,54,0.964285714285714,gastrodermis,0.964285714285714
15,neuron_11,1,0.0178571428571429,gastrodermis,0.964285714285714
15,neuron_14,1,0.0178571428571429,gastrodermis,0.964285714285714
64,gastrodermis,123,0.9609375,gastrodermis,0.9609375
64,gastrodermis_musclelike,2,0.015625,gastrodermis,0.9609375
64,immune_2,2,0.015625,gastrodermis,0.9609375
64,digestive_filaments,1,0.0078125,gastrodermis,0.9609375
22,gastrodermis,91,0.957894736842105,gastrodermis,0.957894736842105
22,host_cells,2,0.0210526315789474,gastrodermis,0.957894736842105
22,immune_2,1,0.0105263157894737,gastrodermis,0.957894736842105
22,germline_sperm,1,0.0105263157894737,gastrodermis,0.957894736842105
