metacell_new,cell_type,N,frac,assigned_cell_type,assigned_frac
20,cnidocyte,42,0.954545454545455,cnidocyte,0.954545454545455
20,mitotic_host_cells,1,0.0227272727272727,cnidocyte,0.954545454545455
20,gland_10,1,0.0227272727272727,cnidocyte,0.954545454545455
17,cnidocyte,2,0.285714285714286,cnidocyte,0.285714285714286
17,digestive_filaments,2,0.285714285714286,cnidocyte,0.285714285714286
17,neuron_1,1,0.142857142857143,cnidocyte,0.285714285714286
17,neuron_14,1,0.142857142857143,cnidocyte,0.285714285714286
17,gastrodermis,1,0.142857142857143,cnidocyte,0.285714285714286
229,gastrodermis_musclelike,75,0.76530612244898,gastrodermis_musclelike,0.76530612244898
229,gastrodermis,17,0.173469387755102,gastrodermis_musclelike,0.76530612244898
229,digestive_filaments,6,0.0612244897959184,gastrodermis_musclelike,0.76530612244898
203,gastrodermis,36,1,gastrodermis,1
205,gastrodermis,38,1,gastrodermis,1
207,gastrodermis,108,1,gastrodermis,1
211,gastrodermis,121,1,gastrodermis,1
214,gastrodermis,106,1,gastrodermis,1
265,gastrodermis,2,1,gastrodermis,1
287,gastrodermis,39,1,gastrodermis,1
288,gastrodermis,32,1,gastrodermis,1
290,gastrodermis,15,1,gastrodermis,1
293,gastrodermis,27,1,gastrodermis,1
295,gastrodermis,85,1,gastrodermis,1
297,gastrodermis,90,1,gastrodermis,1
220,gastrodermis,157,0.993670886075949,gastrodermis,0.993670886075949
220,neuron_2,1,0.00632911392405063,gastrodermis,0.993670886075949
227,gastrodermis,112,0.991150442477876,gastrodermis,0.991150442477876
227,neuron_5,1,0.00884955752212389,gastrodermis,0.991150442477876
218,gastrodermis,95,0.989583333333333,gastrodermis,0.989583333333333
218,cnidocyte,1,0.0104166666666667,gastrodermis,0.989583333333333
252,gastrodermis,95,0.989583333333333,gastrodermis,0.989583333333333
252,host_cells,1,0.0104166666666667,gastrodermis,0.989583333333333
247,gastrodermis,70,0.985915492957746,gastrodermis,0.985915492957746
247,calicoblast,1,0.0140845070422535,gastrodermis,0.985915492957746
248,gastrodermis,66,0.985074626865672,gastrodermis,0.985074626865672
248,neuron_2,1,0.0149253731343284,gastrodermis,0.985074626865672
294,gastrodermis,125,0.984251968503937,gastrodermis,0.984251968503937
294,immune_2,1,0.0078740157480315,gastrodermis,0.984251968503937
294,gland_4,1,0.0078740157480315,gastrodermis,0.984251968503937
208,gastrodermis,123,0.984,gastrodermis,0.984
208,host_cells,2,0.016,gastrodermis,0.984
213,gastrodermis,113,0.982608695652174,gastrodermis,0.982608695652174
213,neuron_11,1,0.00869565217391304,gastrodermis,0.982608695652174
213,host_cells,1,0.00869565217391304,gastrodermis,0.982608695652174
284,gastrodermis,54,0.981818181818182,gastrodermis,0.981818181818182
284,digestive_filaments,1,0.0181818181818182,gastrodermis,0.981818181818182
291,gastrodermis,51,0.980769230769231,gastrodermis,0.980769230769231
291,mitotic_host_cells,1,0.0192307692307692,gastrodermis,0.980769230769231
223,gastrodermis,94,0.979166666666667,gastrodermis,0.979166666666667
223,host_cells,1,0.0104166666666667,gastrodermis,0.979166666666667
223,germline_sperm,1,0.0104166666666667,gastrodermis,0.979166666666667
296,gastrodermis,93,0.978947368421053,gastrodermis,0.978947368421053
296,neuron_11,1,0.0105263157894737,gastrodermis,0.978947368421053
296,cnidocyte,1,0.0105263157894737,gastrodermis,0.978947368421053
232,gastrodermis,91,0.978494623655914,gastrodermis,0.978494623655914
232,neuron_10,1,0.010752688172043,gastrodermis,0.978494623655914
232,host_cells,1,0.010752688172043,gastrodermis,0.978494623655914
299,gastrodermis,90,0.978260869565217,gastrodermis,0.978260869565217
299,host_cells,1,0.0108695652173913,gastrodermis,0.978260869565217
299,neuron_3,1,0.0108695652173913,gastrodermis,0.978260869565217
209,gastrodermis,86,0.977272727272727,gastrodermis,0.977272727272727
209,gland_8,1,0.0113636363636364,gastrodermis,0.977272727272727
209,host_cells,1,0.0113636363636364,gastrodermis,0.977272727272727
250,gastrodermis,43,0.977272727272727,gastrodermis,0.977272727272727
250,neuron_12,1,0.0227272727272727,gastrodermis,0.977272727272727
280,gastrodermis,122,0.976,gastrodermis,0.976
280,host_cells,2,0.016,gastrodermis,0.976
280,epidermis_2,1,0.008,gastrodermis,0.976
204,gastrodermis,80,0.975609756097561,gastrodermis,0.975609756097561
204,cnidocyte,2,0.024390243902439,gastrodermis,0.975609756097561
298,gastrodermis,79,0.975308641975309,gastrodermis,0.975308641975309
298,neuron_5,1,0.0123456790123457,gastrodermis,0.975308641975309
298,neuron_11,1,0.0123456790123457,gastrodermis,0.975308641975309
225,gastrodermis,78,0.975,gastrodermis,0.975
225,cnidocyte,1,0.0125,gastrodermis,0.975
225,gland_8,1,0.0125,gastrodermis,0.975
212,gastrodermis,77,0.974683544303798,gastrodermis,0.974683544303798
212,host_cells,1,0.0126582278481013,gastrodermis,0.974683544303798
212,digestive_filaments,1,0.0126582278481013,gastrodermis,0.974683544303798
215,gastrodermis,114,0.974358974358974,gastrodermis,0.974358974358974
215,neuron_5,1,0.00854700854700855,gastrodermis,0.974358974358974
215,neuron_4,1,0.00854700854700855,gastrodermis,0.974358974358974
215,gland_1,1,0.00854700854700855,gastrodermis,0.974358974358974
235,gastrodermis,136,0.971428571428571,gastrodermis,0.971428571428571
235,gastrodermis_musclelike,3,0.0214285714285714,gastrodermis,0.971428571428571
235,digestive_filaments,1,0.00714285714285714,gastrodermis,0.971428571428571
246,gastrodermis,99,0.970588235294118,gastrodermis,0.970588235294118
246,host_cells,2,0.0196078431372549,gastrodermis,0.970588235294118
246,neuron_14,1,0.00980392156862745,gastrodermis,0.970588235294118
206,gastrodermis,62,0.96875,gastrodermis,0.96875
206,host_cells,1,0.015625,gastrodermis,0.96875
206,neuron_11,1,0.015625,gastrodermis,0.96875
271,gastrodermis,28,0.96551724137931,gastrodermis,0.96551724137931
271,neuron_13,1,0.0344827586206897,gastrodermis,0.96551724137931
251,gastrodermis,74,0.961038961038961,gastrodermis,0.961038961038961
251,immune_2,1,0.012987012987013,gastrodermis,0.961038961038961
251,mitotic_host_cells,1,0.012987012987013,gastrodermis,0.961038961038961
251,gland_6,1,0.012987012987013,gastrodermis,0.961038961038961
217,gastrodermis,49,0.96078431372549,gastrodermis,0.96078431372549
217,host_cells,2,0.0392156862745098,gastrodermis,0.96078431372549
216,gastrodermis,72,0.96,gastrodermis,0.96
216,neuron_5,1,0.0133333333333333,gastrodermis,0.96
216,neuron_12,1,0.0133333333333333,gastrodermis,0.96
216,neuron_8,1,0.0133333333333333,gastrodermis,0.96
292,gastrodermis,71,0.959459459459459,gastrodermis,0.959459459459459
292,neuron_11,1,0.0135135135135135,gastrodermis,0.959459459459459
292,neuron_14,1,0.0135135135135135,gastrodermis,0.959459459459459
292,epidermis_1,1,0.0135135135135135,gastrodermis,0.959459459459459
226,gastrodermis,94,0.959183673469388,gastrodermis,0.959183673469388
226,host_cells,2,0.0204081632653061,gastrodermis,0.959183673469388
226,immune_2,1,0.0102040816326531,gastrodermis,0.959183673469388
226,immune_1,1,0.0102040816326531,gastrodermis,0.959183673469388
228,gastrodermis,70,0.958904109589041,gastrodermis,0.958904109589041
228,gland_1,1,0.0136986301369863,gastrodermis,0.958904109589041
228,mitotic_host_cells,1,0.0136986301369863,gastrodermis,0.958904109589041
228,calicoblast,1,0.0136986301369863,gastrodermis,0.958904109589041
300,gastrodermis,46,0.958333333333333,gastrodermis,0.958333333333333
