cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	475	11294	13404	5683	28.2189473684211	ALL
WASP0001002	1296	28954	35277	13715	27.2199074074074	ALL
WASP0001003	1960	58504	60286	20837	30.7581632653061	ALL
WASP0001004	24	456	134	47	5.58333333333333	ALL
WASP0001005	669	16099	17047	6011	25.4813153961136	ALL
WASP0001007	2114	50716	63153	25867	29.8736991485336	ALL
WASP0001008	1124	32672	31634	9885	28.144128113879	ALL
WASP0001009	35	700	806	285	23.0285714285714	ALL
WASP0001010	1625	40704	47160	16468	29.0215384615385	ALL
WASP0001011	848	21723	26700	10866	31.4858490566038	ALL
WASP0001014	638	14827	20006	8708	31.3573667711599	ALL
WASP0001015	1088	27565	33883	13323	31.1424632352941	ALL
WASP0001016	763	19582	22794	8829	29.8741808650066	ALL
WASP0001017	1019	27046	29497	10801	28.9470068694799	ALL
WASP0001018	294	8100	7899	3197	26.8673469387755	ALL
WASP0001019	752	18450	21534	7936	28.6356382978723	ALL
WASP0001020	2573	52812	62060	25230	24.1197046249514	ALL
WASP0001021	462	11644	12419	4751	26.8809523809524	ALL
WASP0001022	1255	33851	36143	13329	28.799203187251	ALL
WASP0001024	2850	71243	87258	34179	30.6168421052632	ALL
WASP0001028	2482	58525	75335	31426	30.3525382755842	ALL
WASP0001030	754	19108	24221	10037	32.1233421750663	ALL
WASP0001031	2722	65997	77212	27707	28.365907421014	ALL
WASP0001032	2132	53720	60202	22426	28.2373358348968	ALL
WASP0001033	2505	53713	69688	29284	27.8195608782435	ALL
WASP0001034	462	13663	13515	3640	29.2532467532468	ALL
WASP0001035	990	24909	29518	11794	29.8161616161616	ALL
WASP0001036	583	15513	16339	5203	28.0257289879931	ALL
WASP0001037	2303	51939	70887	31074	30.7802865827182	ALL
WASP0001038	1212	30642	37350	15591	30.8168316831683	ALL
WASP0001039	2469	59865	78634	32803	31.8485216686918	ALL
WASP0001040	1005	22083	28205	11605	28.0646766169154	ALL
WASP0001041	1042	28433	32316	13356	31.0134357005758	ALL
WASP0001042	2380	58681	68188	26100	28.6504201680672	ALL
WASP0001043	417	13868	12414	2622	29.7697841726619	ALL
WASP0001044	743	18392	21892	8415	29.464333781965	ALL
WASP0001045	3863	100442	115358	42345	29.8622831995858	ALL
WASP0001047	248	6377	7170	2113	28.9112903225806	ALL
WASP0001048	3751	78783	113797	51024	30.3377765929086	ALL
WASP0001049	2855	78966	76820	25961	26.907180385289	ALL
WASP0001050	493	12096	14068	5279	28.5354969574037	ALL
WASP0001054	4661	103604	142642	59841	30.6033040120146	ALL
WASP0001055	907	20662	28853	12757	31.8114663726571	ALL
WASP0001056	671	15944	20358	8269	30.3397913561848	ALL
WASP0001058	438	10454	13391	5722	30.5730593607306	ALL
WASP0001059	504	15782	15307	4015	30.3710317460317	ALL
WASP0001060	427	11023	12317	4892	28.8454332552693	ALL
WASP0001061	589	15447	18470	6510	31.358234295416	ALL
WASP0001062	2142	50728	62245	24740	29.0592903828198	ALL
WASP0001063	907	21989	27388	10674	30.1962513781698	ALL
WASP0001064	2514	61893	72112	28111	28.684168655529	ALL
WASP0001065	1181	29928	36571	14745	30.9661303979678	ALL
WASP0001066	1597	39275	45432	15816	28.4483406386976	ALL
