cell	UMI_per_cell	total_reads_per_cell	mapped_reads_per_cell	gene_mapped	mapped_reads_per_UMI	sample
WASP0001001	435	7987	9433	4027	21.6850574712644	DS70
WASP0001002	1179	20373	25123	9989	21.3087362171332	DS70
WASP0001003	1787	40937	43006	15350	24.0660324566312	DS70
WASP0001004	23	315	87	31	3.78260869565217	DS70
WASP0001005	594	11205	12117	4456	20.3989898989899	DS70
WASP0001007	1949	35186	44527	18515	22.8460749102104	DS70
WASP0001008	1062	22939	22718	7466	21.391713747646	DS70
WASP0001009	33	457	596	243	18.0606060606061	DS70
WASP0001010	1543	28394	34015	12484	22.0447180816591	DS70
WASP0001011	776	15216	18900	7822	24.3556701030928	DS70
WASP0001014	592	10443	14203	6258	23.9915540540541	DS70
WASP0001015	1009	19077	24017	9690	23.802775024777	DS70
WASP0001016	723	13706	16087	6336	22.2503457814661	DS70
WASP0001017	912	18878	20873	7884	22.8870614035088	DS70
WASP0001018	260	5602	5592	2325	21.5076923076923	DS70
WASP0001019	721	12828	15321	5882	21.249653259362	DS70
WASP0001020	2350	36874	44019	18277	18.7314893617021	DS70
WASP0001021	424	8121	8842	3475	20.8537735849057	DS70
WASP0001022	1153	23846	25643	9666	22.2402428447528	DS70
WASP0001024	2633	49794	61903	24746	23.5104443600456	DS70
WASP0001028	2256	40953	53482	22603	23.7065602836879	DS70
WASP0001030	701	13424	17212	7272	24.5534950071327	DS70
WASP0001031	2476	46187	55230	20556	22.3061389337641	DS70
WASP0001032	1939	37544	42843	16416	22.0954100051573	DS70
WASP0001033	2308	37681	49401	21126	21.4042461005199	DS70
WASP0001034	431	9567	9735	2795	22.5870069605569	DS70
WASP0001035	906	17363	20727	8408	22.8774834437086	DS70
WASP0001036	529	10813	11676	3910	22.0718336483932	DS70
WASP0001037	2142	36400	50242	22282	23.4556489262372	DS70
WASP0001038	1131	21550	26668	11306	23.579133510168	DS70
WASP0001039	2241	41890	55723	23577	24.8652387327086	DS70
WASP0001040	892	15520	20127	8466	22.5639013452915	DS70
WASP0001041	959	20066	22980	9678	23.9624608967675	DS70
WASP0001042	2157	40943	48383	18967	22.4306907742235	DS70
WASP0001043	383	9689	8989	2136	23.4699738903394	DS70
WASP0001044	679	12853	15670	6209	23.0780559646539	DS70
WASP0001045	3585	70324	82540	31409	23.023709902371	DS70
WASP0001047	237	4429	5221	1685	22.0295358649789	DS70
WASP0001048	3458	54808	80040	36227	23.1463273568537	DS70
WASP0001049	2528	55282	54509	18858	21.5621044303798	DS70
WASP0001050	438	8486	10023	3841	22.8835616438356	DS70
WASP0001054	4284	72434	100961	43022	23.5669934640523	DS70
WASP0001055	856	14465	20203	8985	23.6016355140187	DS70
WASP0001056	630	11219	14527	6019	23.0587301587302	DS70
WASP0001058	395	7240	9420	4064	23.8481012658228	DS70
WASP0001059	478	11190	11217	3295	23.4665271966527	DS70
WASP0001060	387	7751	8701	3493	22.4832041343669	DS70
WASP0001061	551	10771	13248	4899	24.043557168784	DS70
