gene	gene_umis
Spis10006_1	110
Spis10012_1	120
Spis10030_1	70
Spis10031_1	45
Spis10033_1	148
Spis10039_1	20
Spis10051_1	35
Spis10066_1	27
Spis10075_1	5
Spis10076_1	5
Spis10078_1	161
Spis10079_1	59
Spis10085_1	43
Spis10086_1	5
Spis10089_1	80
Spis10110_1	378
Spis10114_1	2
Spis10164_1	77
Spis10165_1	20
Spis10167_1	223
Spis10168_1	333
Spis10169_1	136
Spis10178_1	18
Spis10187_1	21
Spis10188_1	397
Spis10189_1	263
Spis10190_1	107
Spis10191_1	3
Spis10201_1	19
Spis10203_1	183
Spis10210_1	127
Spis10211_1	15
Spis10212_1	97
Spis10213_1	1
Spis10228_1	96
Spis10249_1	32
Spis10262_1	12
Spis10291_1	94
Spis10293_1	160
Spis10294_1	4
Spis10295_1	37
Spis10296_1	6
Spis10297_1	47
Spis10298_1	3
Spis10302_1	8
Spis10304_1	0
Spis10306_1	6
Spis10307_1	1
Spis10308_1	4
Spis10309_1	9
Spis10310_1	2
Spis10311_1	1
Spis10313_1	2
Spis10314_1	16
Spis10315_1	2
Spis10316_1	1
Spis10317_1	0
Spis10319_1	37
Spis1031_1	0
Spis10320_1	46
Spis10321_1	1
Spis10329_1	54
Spis10330_1	26
Spis10334_1	6
Spis10379_1	3
Spis10386_1	7
Spis10401_1	4
Spis10413_1	29
Spis1042_1	211
Spis1043_1	80
Spis1044_1	8
Spis10451_1	8
Spis10458_1	21
Spis1045_1	13
Spis10465_1	275
Spis10466_1	0
Spis10469_1	22
Spis10470_1	74
Spis10471_1	12
Spis10473_1	10
Spis10484_1	108
Spis10486_1	62
Spis10487_1	19
Spis10492_1	7
Spis10493_1	166
Spis10494_1	12
Spis10501_1	10
Spis10512_1	14
Spis10513_1	148
Spis10519_1	50
Spis10520_1	11
Spis10522_1	2
Spis10527_1	33
Spis10529_1	25
Spis10530_1	14
Spis10545_1	13
Spis10546_1	6
Spis10547_1	7
Spis10548_1	0
Spis10589_1	65
Spis10593_1	296
Spis10619_1	76
Spis10625_1	6
Spis10627_1	120
Spis10628_1	84
Spis10634_1	35
Spis10637_1	41
Spis10638_1	2
Spis10639_1	0
Spis10642_1	9
Spis10643_1	8
Spis10645_1	108
Spis10670_1	287
Spis10717_1	129
Spis10721_1	72
Spis10753_1	30
Spis10787_1	34
Spis10795_1	21
Spis10801_1	5
Spis10817_1	70
Spis10824_1	98
Spis10829_1	20
Spis10836_1	45
Spis10843_1	34
Spis10848_1	6
Spis10849_1	11
Spis10850_1	473
Spis10875_1	2
Spis10894_1	3
Spis10908_1	47
Spis10921_1	20
Spis10922_1	24
Spis10937_1	1298
Spis10957_1	2
Spis10958_1	0
Spis10960_1	16
Spis10961_1	150
Spis10963_1	2
Spis10965_1	1
Spis10975_1	94
Spis1097_1	16
Spis11004_1	10
Spis11005_1	18
Spis11018_1	60
Spis11040_1	26
Spis11042_1	359
Spis11044_1	46
Spis11046_1	95
Spis11077_1	340
Spis11078_1	29
Spis11080_1	9
Spis11081_1	70
Spis11086_1	4
Spis11087_1	20
Spis11089_1	11
Spis11090_1	1
Spis11095_1	15
Spis11097_1	60
Spis11099_1	8
Spis11100_1	15
Spis11106_1	11
Spis11114_1	347
Spis11140_1	345
Spis11164_1	465
Spis11180_1	46
Spis11187_1	13
Spis11190_1	3
Spis11201_1	53
Spis11210_1	8
Spis11227_1	709
Spis11228_1	54
Spis11233_1	100
Spis11259_1	544
Spis11280_1	11
Spis11297_1	190
Spis11308_1	3
Spis1130_1	18
Spis11324_1	49
Spis11369_1	47
Spis11373_1	30
Spis11375_1	15
Spis11397_1	68
Spis11399_1	63
Spis11403_1	1
Spis11408_1	120
Spis11409_1	26
Spis11414_1	7
Spis11416_1	36
Spis11417_1	23
Spis11448_1	10
Spis11449_1	90
Spis11450_1	99
Spis11458_1	69
Spis11459_1	0
Spis1145_1	47
Spis11468_1	73
Spis11470_1	78
Spis11502_1	54
Spis11513_1	122
Spis11514_1	87
Spis11518_1	110
Spis11519_1	6
Spis11538_1	33
Spis11558_1	25
Spis11585_1	43
Spis11596_1	31
Spis11597_1	507
Spis11598_1	58
Spis11607_1	7
Spis11608_1	83
Spis11609_1	1050
Spis11611_1	245
Spis11646_1	44
Spis11647_1	27
Spis11648_1	70
Spis11661_1	6
Spis11664_1	353
Spis11665_1	69
Spis11667_1	22
Spis11687_1	30
Spis11688_1	0
Spis11689_1	27
Spis11695_1	11
Spis11696_1	139
Spis11697_1	16
Spis11699_1	30
Spis11701_1	117
Spis11709_1	3
Spis11710_1	32
Spis11716_1	438
Spis11730_1	101
Spis11734_1	23
Spis11749_1	19
Spis11752_1	22
Spis11793_1	59
Spis11794_1	48
Spis11798_1	18
Spis11800_1	20
Spis11801_1	13
Spis11806_1	0
Spis11808_1	6
Spis11809_1	38
Spis11810_1	43
Spis11811_1	85
Spis11812_1	661
Spis11813_1	135
Spis11816_1	10
Spis11817_1	73
Spis11819_1	104
Spis11820_1	3
Spis11822_1	150
Spis11847_1	47
Spis11849_1	35
Spis11850_1	27
Spis11865_1	1031
Spis11866_1	411
Spis11868_1	60
Spis11915_1	232
Spis11917_1	0
Spis11919_1	34
Spis11922_1	36
Spis11944_1	11
Spis11945_1	0
Spis11947_1	13
Spis11973_1	6
Spis11974_1	24
Spis11979_1	21
Spis11980_1	49
Spis11981_1	49
Spis11982_1	11
Spis11983_1	11
Spis11984_1	10
Spis11988_1	1
Spis11993_1	25
Spis12001_1	48
Spis12003_1	48
Spis12018_1	6
Spis12045_1	3
Spis12055_1	360
Spis12066_1	73
Spis12090_1	23
Spis12104_1	34
Spis12109_1	8
Spis1210_1	46
Spis12151_1	6
Spis12155_1	12
Spis12160_1	148
Spis12193_1	66
Spis12194_1	168
Spis12197_1	11
Spis12217_1	0
Spis12218_1	19
Spis12220_1	5
Spis12222_1	52
Spis12227_1	32
Spis12249_1	24
Spis12250_1	21
Spis12252_1	93
Spis12254_1	13
Spis12258_1	6
Spis12259_1	10
Spis12260_1	63
Spis12261_1	413
Spis12263_1	1
Spis12267_1	1174
Spis12268_1	46
Spis12289_1	11
Spis12290_1	14
Spis1229_1	93
Spis1230_1	9
Spis12315_1	5
Spis12318_1	270
Spis12320_1	112
Spis12326_1	11
Spis12352_1	130
Spis12366_1	5
Spis12367_1	18
Spis12374_1	37
Spis12375_1	21
Spis12379_1	0
Spis12387_1	117
Spis12389_1	3
Spis12391_1	107
Spis12393_1	168
Spis12406_1	67
Spis12412_1	225
Spis12413_1	61
Spis12428_1	18
Spis12466_1	12
Spis12467_1	2
Spis12469_1	28
Spis12470_1	283
Spis12474_1	86
Spis12480_1	5
Spis12497_1	2
Spis12498_1	12
Spis12505_1	100
Spis12508_1	27
Spis1253_1	24
Spis12568_1	8
Spis12594_1	48
Spis12597_1	133
Spis12599_1	20
Spis12638_1	77
Spis12642_1	5
Spis12646_1	61
Spis1264_1	28
Spis12654_1	91
Spis12655_1	71
Spis1265_1	11
Spis12664_1	9
Spis12674_1	2
Spis12675_1	36
