cell	UMI_per_cell	total_reads	total_mapped	gene_mapped	mapped_reads_per_UMI
WASP0001099	781	16488	7540	3504	9.65428937259923
WASP0001100	502	10099	4746	2162	9.45418326693227
WASP0001101	2316	55539	24511	11125	10.5833333333333
WASP0001103	995	23868	9973	4578	10.0231155778894
WASP0001104	710	12938	7570	3504	10.6619718309859
WASP0001105	582	12206	6180	2766	10.6185567010309
WASP0001107	1160	32568	11842	5314	10.2086206896552
WASP0001108	1161	27936	13127	5914	11.306632213609
WASP0001110	634	17867	6598	3055	10.4069400630915
WASP0001111	1368	34684	14637	6568	10.6995614035088
WASP0001112	380	7695	3249	1481	8.55
WASP0001113	900	22098	10051	4535	11.1677777777778
WASP0001114	1457	33897	15946	7282	10.9444063143445
WASP0001115	1775	49161	17363	7776	9.78197183098592
WASP0001116	2101	56164	20841	9382	9.91956211327939
WASP0001117	2177	51870	24171	10967	11.1028938906752
WASP0001118	2037	51106	20824	9302	10.2228767795778
WASP0001119	427	8780	4244	1967	9.93911007025761
WASP0001120	1477	35762	16261	7444	11.0094786729858
WASP0001121	527	16316	4833	2154	9.1707779886148
WASP0001124	362	6716	2781	1256	7.68232044198895
WASP0001125	285	4682	2178	1022	7.6421052631579
WASP0001126	1045	28398	10138	4502	9.70143540669856
WASP0001127	429	9399	3879	1784	9.04195804195804
WASP0001128	1122	27155	11474	5221	10.2263814616756
WASP0001129	392	7037	3463	1567	8.83418367346939
WASP0001130	520	12530	4365	1938	8.39423076923077
WASP0001132	282	5587	1924	862	6.82269503546099
WASP0001133	358	5594	3616	1651	10.1005586592179
WASP0001134	2120	54146	22789	10394	10.7495283018868
WASP0001136	605	10749	5942	2720	9.82148760330579
WASP0001137	486	10917	4990	2284	10.2674897119342
WASP0001138	732	15232	6935	3171	9.47404371584699
WASP0001139	768	16930	9501	4418	12.37109375
WASP0001140	1176	30887	12189	5453	10.3647959183673
WASP0001141	384	10264	3149	1405	8.20052083333333
WASP0001142	1856	46000	17847	8044	9.61584051724138
WASP0001143	463	8037	4466	2062	9.64578833693304
WASP0001144	673	12548	7258	3348	10.7845468053492
WASP0001145	292	4775	2032	960	6.95890410958904
WASP0001146	555	18420	5266	2369	9.48828828828829
WASP0001147	791	16813	7736	3566	9.78002528445006
WASP0001148	529	12075	4976	2280	9.40642722117202
WASP0001150	361	7810	3891	1648	10.7783933518006
WASP0001151	924	19977	9816	4587	10.6233766233766
WASP0001152	627	12650	6624	3054	10.5645933014354
WASP0001154	267	4772	1947	855	7.29213483146067
WASP0001156	484	10186	5384	2478	11.1239669421488
WASP0001159	1146	24117	13484	6272	11.7661431064572
WASP0001160	688	17967	7310	3314	10.625
WASP0001161	393	10051	3758	1751	9.56234096692112
WASP0001162	893	24943	12610	5610	14.1209406494961
WASP0001163	338	7357	2856	1298	8.44970414201183
WASP0001164	727	12953	8413	3830	11.5722145804677
WASP0001165	353	5071	2629	1235	7.44759206798867
WASP0001166	540	11154	6094	2867	11.2851851851852
WASP0001167	707	17787	6783	2969	9.59405940594059
WASP0001168	784	14901	9178	4337	11.7066326530612
WASP0001169	451	10827	4289	1944	9.509977827051
WASP0001170	323	5529	2693	1234	8.3374613003096
WASP0001171	765	12261	8234	3931	10.7633986928105
WASP0001172	2435	54292	29660	13747	12.1806981519507
WASP0001175	952	20684	9422	4354	9.89705882352941
WASP0001176	443	7695	4382	2057	9.89164785553047
WASP0001177	492	13575	5698	2632	11.5813008130081
WASP0001178	338	6129	2700	1271	7.98816568047337
WASP0001179	309	5292	2601	1220	8.41747572815534
WASP0001180	317	5364	2877	1358	9.07570977917981
WASP0001181	565	11017	6324	2931	11.1929203539823
WASP0001182	581	9150	6326	3015	10.8881239242685
WASP0001187	861	24281	9158	4140	10.6364692218351
WASP0001189	1151	26723	12815	5875	11.133796698523
WASP0001190	1280	27278	12794	5859	9.9953125
WASP0001191	1399	25490	15487	7268	11.0700500357398
WASP0001192	710	15471	8666	4105	12.2056338028169
WASP0001193	454	6214	2010	939	4.4273127753304
WASP0001194	1042	13043	5442	2496	5.22264875239923
WASP0001195	459	6477	1923	884	4.18954248366013
WASP0001196	2802	43384	15870	7287	5.66381156316917
WASP0001197	1878	34771	10066	4520	5.35995740149095
WASP0001199	550	5526	2076	924	3.77454545454545
WASP0001201	375	3822	1376	644	3.66933333333333
WASP0001202	360	5357	1306	586	3.62777777777778
WASP0001203	2004	31987	10363	4758	5.17115768463074
WASP0001204	529	8278	2123	954	4.01323251417769
WASP0001205	545	6316	2420	1126	4.44036697247706
WASP0001206	1041	14208	4912	2230	4.71853986551393
WASP0001208	3926	65343	23316	10682	5.93886907794193
WASP0001209	1635	25832	7754	3486	4.74250764525994
WASP0001210	793	13009	3988	1805	5.02900378310214
WASP0001211	3361	57672	19037	8627	5.66408806902708
WASP0001212	464	6540	2216	1002	4.77586206896552
WASP0001213	1606	26923	9618	4383	5.98879202988792
WASP0001215	1316	20589	7044	3231	5.35258358662614
WASP0001216	1653	23707	9192	4250	5.56079854809437
WASP0001217	617	9617	3128	1458	5.06969205834684
WASP0001218	448	3847	2057	968	4.59151785714286
WASP0001219	508	7017	1961	892	3.86023622047244
WASP0001220	1101	12323	5927	2791	5.38328792007266
WASP0001222	2163	26517	14085	6614	6.5117891816921
WASP0001223	577	9471	2778	1271	4.81455805892548
WASP0001224	4889	94689	30566	13772	6.25199427285744
WASP0001225	415	4888	1800	839	4.33734939759036
WASP0001226	376	4082	1543	712	4.10372340425532
WASP0001227	522	6746	2563	1181	4.90996168582376
WASP0001229	1524	17283	8670	4102	5.68897637795276
WASP0001231	1495	18922	8247	3856	5.51638795986622
WASP0001232	515	6311	2245	1026	4.35922330097087
WASP0001234	733	11884	4042	1828	5.51432469304229
WASP0001235	902	10984	5048	2323	5.59645232815965
WASP0001236	1658	24478	9090	4230	5.48250904704463
WASP0001237	710	7750	3352	1544	4.72112676056338
WASP0001238	1018	20495	5010	2166	4.92141453831041
WASP0001239	339	3617	1090	497	3.21533923303835
WASP0001240	528	7069	2335	1089	4.42234848484848
WASP0001241	494	6712	2438	1128	4.93522267206478
WASP0001242	6334	70342	41205	19579	6.50536785601516
WASP0001243	272	4451	1328	627	4.88235294117647
WASP0001245	722	5763	3779	1816	5.23407202216067
WASP0001246	833	7828	4284	2015	5.14285714285714
WASP0001247	1005	12593	5803	2697	5.77412935323383
WASP0001248	1025	13545	5168	2384	5.0419512195122
WASP0001249	1928	24304	10976	5152	5.69294605809129
WASP0001250	297	7361	1014	437	3.41414141414141
WASP0001255	3793	71888	33354	15654	8.79356709728447
WASP0001257	1075	11737	5742	2711	5.34139534883721
WASP0001258	338	3658	1454	672	4.30177514792899
WASP0001259	1447	12791	7708	3681	5.32688320663442
WASP0001260	534	4066	2414	1128	4.52059925093633
WASP0001261	532	4100	2397	1139	4.50563909774436
WASP0001262	2953	32450	17783	8469	6.02201151371487
WASP0001264	402	5077	1698	791	4.22388059701493
WASP0001265	631	7572	3284	1518	5.20443740095087
WASP0001266	480	7700	2206	996	4.59583333333333
WASP0001267	519	5523	2629	1218	5.06551059730251
WASP0001269	3029	31779	17976	8538	5.93463189171344
WASP0001270	471	4491	2248	1058	4.77282377919321
WASP0001271	1072	13817	6050	2775	5.64365671641791
WASP0001272	267	2652	937	431	3.50936329588015
WASP0001274	1105	13025	6375	2994	5.76923076923077
WASP0001275	2034	23390	12093	5662	5.94542772861357
WASP0001276	748	9182	3947	1856	5.27673796791444
WASP0001277	1524	14428	8839	4194	5.7998687664042
WASP0001278	1668	19146	9541	4381	5.72002398081535
WASP0001279	1189	11170	6505	3089	5.47098402018503
WASP0001280	555	6181	3022	1420	5.44504504504505
WASP0001282	2438	23704	14567	6951	5.97497949138638
WASP0001283	1622	16936	9328	4374	5.75092478421702
WASP0001284	887	10863	4507	2107	5.08117249154453
WASP0001285	2341	23176	16086	7670	6.87142246903033
WASP0001287	1578	15267	8852	4207	5.60963244613435
WASP0001288	2650	50664	20092	9365	7.58188679245283
WASP0001290	534	11099	3048	1350	5.70786516853933
WASP0001291	536	7161	2405	1098	4.48694029850746
WASP0001293	1122	19979	6756	3011	6.02139037433155
WASP0001294	767	12883	3792	1673	4.94393741851369
WASP0001295	600	9076	2898	1315	4.83
WASP0001297	520	6426	2580	1173	4.96153846153846
WASP0001298	606	8432	2484	1113	4.0990099009901
WASP0001299	626	9316	2919	1340	4.6629392971246
WASP0001300	365	3590	1513	680	4.14520547945206
WASP0001301	604	7825	3131	1436	5.18377483443709
WASP0001303	1326	25719	6344	2792	4.7843137254902
WASP0001304	720	7677	3485	1621	4.84027777777778
WASP0001305	566	6838	2989	1362	5.2809187279152
WASP0001306	377	7391	1184	488	3.14058355437666
WASP0001307	635	8115	3281	1490	5.16692913385827
WASP0001308	996	13543	5785	2615	5.80823293172691
WASP0001309	925	11491	5266	2439	5.69297297297297
WASP0001310	3914	64424	23354	10596	5.96678589678079
WASP0001311	1002	14362	5408	2460	5.39720558882236
WASP0001312	481	6616	2396	1093	4.98128898128898
WASP0001313	2609	43091	16767	7765	6.42660022997317
WASP0001314	893	14948	4128	1869	4.62262038073908
WASP0001315	907	12789	4609	2088	5.08158765159868
WASP0001316	453	9565	1854	795	4.09271523178808
WASP0001318	4493	90490	26987	11979	6.00645448475406
WASP0001319	1267	15393	6264	2899	4.94396211523283
WASP0001320	836	11002	4037	1847	4.82894736842105
WASP0001321	669	13218	3517	1534	5.25710014947683
WASP0001322	366	3767	1528	696	4.17486338797814
WASP0001323	846	11447	4676	2139	5.52718676122932
WASP0001324	2243	38963	14776	6848	6.58760588497548
WASP0001325	1713	21955	9762	4539	5.69877408056042
WASP0001326	1696	22008	9810	4400	5.78419811320755
WASP0001327	1563	21966	8501	3845	5.43889955214331
WASP0001328	470	4869	2355	1078	5.01063829787234
WASP0001329	388	4281	1734	800	4.46907216494845
WASP0001330	754	8796	4085	1878	5.41777188328913
WASP0001331	2185	35785	12792	5941	5.85446224256293
WASP0001332	575	7366	2870	1308	4.99130434782609
WASP0001334	2657	43062	14526	6625	5.46706812194204
WASP0001335	2213	35329	12238	5574	5.53004970628107
WASP0001336	467	4912	2102	966	4.50107066381156
WASP0001337	1586	21239	10602	4668	6.68474148802018
WASP0001339	914	10128	5207	2444	5.69693654266958
WASP0001340	834	10794	4448	2060	5.33333333333333
WASP0001341	883	11134	4687	2148	5.30804077010193
WASP0001342	1421	20672	7809	3621	5.4954257565095
WASP0001344	494	5257	2516	1171	5.09311740890688
WASP0001345	452	5740	2023	950	4.47566371681416
WASP0001347	306	2918	1433	655	4.68300653594771
WASP0001348	851	14189	5104	2273	5.99764982373678
WASP0001349	671	13383	3737	1657	5.56929955290611
WASP0001350	921	13711	5580	2574	6.0586319218241
WASP0001351	692	9712	3388	1559	4.89595375722543
WASP0001352	507	7259	2627	1205	5.18145956607495
WASP0001353	831	13893	4385	2016	5.27677496991576
WASP0001354	232	2383	976	445	4.20689655172414
WASP0001355	453	5333	2221	1035	4.90286975717439
WASP0001357	2699	36048	16745	7859	6.20414968506854
WASP0001358	1131	12963	6394	2990	5.65340406719717
WASP0001359	2054	26532	12422	5739	6.047711781889
WASP0001361	738	10373	3558	1613	4.82113821138211
WASP0001362	2233	30511	13270	6130	5.94267801164353
WASP0001363	2736	32371	16794	7853	6.13815789473684
WASP0001364	851	10295	4915	2242	5.77555816686252
WASP0001365	1546	20696	8190	3778	5.29754204398448
WASP0001366	575	7842	2879	1330	5.00695652173913
WASP0001368	1524	15775	8158	3886	5.35301837270341
WASP0001370	315	3149	1571	734	4.98730158730159
WASP0001371	473	5338	2352	1095	4.97251585623679
WASP0001372	9091	114297	80994	38541	8.90925090749093
WASP0001374	413	4520	1914	888	4.63438256658596
WASP0001377	497	4936	2558	1222	5.14688128772636
WASP0001378	968	11686	5760	2628	5.9504132231405
WASP0001379	3496	61765	19613	8988	5.61012585812357
WASP0001381	1265	17738	7410	3511	5.85770750988142
WASP0001382	1122	10538	6730	3150	5.9982174688057
WASP0001383	2043	26716	11221	5275	5.49241311796378
WASP0001384	987	9710	5478	2588	5.55015197568389
WASP0002001	658	12653	3324	1492	5.0516717325228
WASP0002002	976	13778	5124	2333	5.25
WASP0002003	520	6256	2695	1259	5.18269230769231
WASP0002004	907	18641	6132	2701	6.76074972436604
WASP0002005	572	5915	3256	1519	5.69230769230769
WASP0002006	1290	23264	7329	3274	5.68139534883721
WASP0002007	3217	58450	20322	9139	6.31706558905813
WASP0002008	1094	13406	7943	3710	7.26051188299817
WASP0002009	1967	38006	13202	5969	6.71174377224199
WASP0002011	3589	68026	25399	11423	7.07690164391195
WASP0002012	693	12663	3403	1520	4.91053391053391
WASP0002013	1260	18456	7716	3480	6.12380952380952
WASP0002015	3107	55955	23109	10483	7.43772127454136
WASP0002017	1651	24946	10143	4564	6.14354936402181
WASP0002018	932	15596	5691	2616	6.10622317596567
