cell	UMI_per_cell	total_reads	total_mapped	gene_mapped	mapped_reads_per_UMI
WASP0005334	602	11022	4853	2195	8.06146179401993
WASP0005335	6735	166787	61554	26798	9.13942093541203
WASP0005337	940	19802	8113	3631	8.63085106382979
WASP0005338	549	23121	3453	1386	6.2896174863388
WASP0005339	1184	22918	10872	4935	9.18243243243243
WASP0005340	509	9755	3991	1757	7.84086444007859
WASP0005341	2739	84846	24017	10402	8.76852866009492
WASP0005343	863	17221	7461	3274	8.64542294322132
WASP0005345	7581	213474	76808	33997	10.131644901728
WASP0005347	477	8080	3721	1682	7.80083857442348
WASP0005348	677	11308	6500	2961	9.60118168389956
WASP0005349	5440	167888	56369	24909	10.3619485294118
WASP0005350	1720	37495	14851	6691	8.6343023255814
WASP0005351	3686	120353	32878	14089	8.91969614758546
WASP0005353	439	11566	3722	1672	8.47835990888383
WASP0005354	1108	25043	10618	4710	9.58303249097473
WASP0005356	2961	65990	27862	12685	9.4096588990206
WASP0005357	4707	114849	43250	18965	9.1884427448481
WASP0005359	819	18332	7198	3242	8.78876678876679
WASP0005360	7261	164751	74960	34058	10.323646880595
WASP0005361	661	14755	5742	2640	8.68683812405446
WASP0005362	1443	40187	12803	5697	8.87248787248787
WASP0005364	694	13648	6207	2806	8.94380403458213
WASP0005365	863	20661	7481	3337	8.66859791425261
WASP0005366	3348	77947	34019	15379	10.1609916367981
WASP0005367	4117	83741	39010	17704	9.47534612581977
WASP0005368	2947	64351	28971	13019	9.8306752629793
WASP0005369	198	4860	1203	529	6.07575757575758
WASP0005370	1400	25355	14376	6608	10.2685714285714
WASP0005371	816	19517	7571	3427	9.2781862745098
WASP0005373	1208	22603	11224	5164	9.29139072847682
WASP0005374	1820	40987	23939	10909	13.1532967032967
WASP0005376	1852	31244	18650	8497	10.0701943844492
WASP0005377	1698	32558	17419	7990	10.2585394581861
WASP0005378	360	7775	3014	1379	8.37222222222222
WASP0005380	4359	85892	43261	19846	9.92452397338839
WASP0005381	216	6255	1215	534	5.625
WASP0005382	584	9232	5540	2559	9.48630136986301
WASP0005383	1116	23717	11028	4744	9.88172043010753
WASP0005384	875	14680	8561	3977	9.784
WASP0006001	531	10251	3057	1329	5.75706214689266
WASP0006002	3430	70708	25600	11292	7.46355685131195
WASP0006004	6125	142689	55003	23728	8.98008163265306
WASP0006005	687	9454	5298	2459	7.7117903930131
WASP0006006	2348	56964	16074	6653	6.8458262350937
WASP0006007	1862	49181	12330	5145	6.6219119226638
WASP0006009	1263	27517	8415	3615	6.66270783847981
WASP0006011	452	10285	2093	870	4.63053097345133
WASP0006012	5750	134043	42620	18176	7.41217391304348
WASP0006013	7217	196282	55300	23123	7.66246362754607
WASP0006015	1715	48043	14258	5878	8.31370262390671
WASP0006016	1068	20481	7153	3085	6.69756554307116
WASP0006017	420	8287	2367	978	5.63571428571429
WASP0006018	3909	106258	33057	14444	8.45663852647736
WASP0006019	2221	48896	15483	6647	6.97118415128321
WASP0006020	4912	109986	39120	16679	7.96416938110749
WASP0006022	1734	56189	11588	4597	6.68281430219147
WASP0006023	1378	29364	9473	4106	6.8744557329463
WASP0006024	1209	25212	8648	3744	7.15301902398677
WASP0006025	983	35858	5211	1735	5.30111902339776
WASP0006026	835	15602	5801	2558	6.94730538922156
WASP0006027	3298	67310	25876	11285	7.84596725288053
WASP0006028	587	11539	2994	1237	5.10051107325383
WASP0006032	3347	62782	25663	11066	7.66746340005976
WASP0006033	6934	143136	57715	25228	8.32347851168157
WASP0006034	941	19408	6648	2856	7.06482465462274
WASP0006035	341	5433	1716	743	5.03225806451613
WASP0006036	867	17129	5028	2165	5.79930795847751
WASP0006037	4509	120921	34356	14725	7.61942781104458
WASP0006038	5672	126829	40761	17580	7.18635401974612
WASP0006041	584	11810	3429	1498	5.87157534246575
WASP0006042	3184	81707	24832	10468	7.79899497487437
WASP0006044	544	10819	3436	1459	6.31617647058824
WASP0006045	1473	33082	11815	5048	8.02104548540394
WASP0006046	793	16470	4804	2033	6.05800756620429
WASP0006047	3897	90347	30653	13392	7.86579420066718
WASP0006048	768	15996	4844	2057	6.30729166666667
WASP0006049	736	14482	4970	2160	6.75271739130435
WASP0006050	2026	40867	15563	6742	7.68163869693978
WASP0006051	419	12702	1956	779	4.66825775656325
WASP0006052	861	15027	6468	2872	7.51219512195122
WASP0006053	1061	15399	7690	3418	7.24787935909519
WASP0006054	1734	34196	13191	5726	7.60726643598616
WASP0006055	1631	30393	12580	5638	7.71305947271613
WASP0006056	4044	87431	30646	13491	7.57814045499505
WASP0006058	4992	118736	37247	15792	7.46133814102564
WASP0006059	1613	27937	11735	5152	7.27526348419095
WASP0006060	4869	105977	36721	16125	7.54179502978024
WASP0006061	1443	34411	10406	4499	7.21136521136521
WASP0006062	2379	100997	15741	5494	6.61664564943254
WASP0006063	844	16553	5851	2548	6.9324644549763
WASP0006064	865	17254	5096	2115	5.89132947976879
WASP0006066	4962	124633	38383	16858	7.7353889560661
WASP0006067	6601	126077	50827	22156	7.69989395546129
WASP0006068	1221	31118	8267	3459	6.77067977067977
WASP0006069	5327	106604	47138	21194	8.84888304862024
WASP0006070	687	11703	3773	1637	5.4919941775837
WASP0006071	5471	140630	48314	21034	8.8309267044416
WASP0006072	1152	28848	7858	3354	6.82118055555556
WASP0006073	1915	36305	13484	5895	7.04125326370757
WASP0006075	2334	45612	18059	7801	7.73736075407027
WASP0006076	892	15397	6103	2689	6.84192825112108
WASP0006077	1572	35237	10057	4247	6.39758269720102
WASP0006078	1500	25478	10838	4859	7.22533333333333
WASP0006079	511	8533	3868	1761	7.56947162426615
WASP0006080	7093	156694	53537	23201	7.54786409135768
WASP0006081	236	4904	1240	504	5.25423728813559
WASP0006082	4212	86396	32642	14362	7.74976258309592
WASP0006083	653	10555	4209	1872	6.44563552833078
WASP0006084	3948	66963	31091	14054	7.87512664640324
WASP0006085	2520	56637	18997	8164	7.53849206349206
WASP0006086	2020	33199	16292	7331	8.06534653465347
WASP0006087	938	18546	6073	2644	6.47441364605544
WASP0006088	1332	26035	9671	4232	7.26051051051051
WASP0006089	755	11781	5497	2429	7.28079470198676
WASP0006090	3658	75122	33444	14821	9.14270092946966
WASP0006091	1825	30227	13333	6042	7.30575342465753
WASP0006093	720	14944	5094	2139	7.075
WASP0006094	2946	51284	22676	10215	7.69721656483367
WASP0006098	9375	251917	77255	31760	8.24053333333333
WASP0006099	1864	35702	12300	5314	6.59871244635193
WASP0006100	3541	80334	25323	10769	7.15136966958486
WASP0006101	1912	35267	15060	6611	7.8765690376569
WASP0006103	575	13131	2950	1192	5.1304347826087
WASP0006104	2093	43766	14267	5861	6.81653129479216
WASP0006105	9168	272995	89993	38161	9.81599040139616
WASP0006106	519	6639	3341	1547	6.4373795761079
WASP0006107	1085	23863	7164	3032	6.60276497695853
WASP0006108	2787	56039	22639	9851	8.12307140294223
WASP0006109	1113	21979	7618	3236	6.84456424079066
WASP0006112	2653	62507	19358	8233	7.2966453071994
WASP0006113	2104	36578	16124	7087	7.66349809885932
WASP0006114	3399	82018	26555	11107	7.81259193880553
WASP0006115	5558	150534	42823	17607	7.70474991003958
WASP0006116	6771	157712	55439	23800	8.1877123024664
WASP0006117	1827	30705	13824	6125	7.56650246305419
WASP0006118	3568	114898	25579	10111	7.16900224215247
WASP0006119	1767	37679	12714	5468	7.19524617996604
WASP0006120	2788	61528	21331	9104	7.65100430416069
WASP0006122	2602	98617	18163	6659	6.9803996925442
WASP0006124	3219	89740	25730	10900	7.99316557937248
WASP0006125	2406	56183	18282	7872	7.59850374064838
WASP0006126	5903	139818	42977	17855	7.28053532102321
WASP0006127	1280	25273	9487	4192	7.41171875
WASP0006128	2234	49468	17149	7335	7.67636526410027
WASP0006129	335	5650	1622	677	4.84179104477612
WASP0006130	6219	143682	51062	22150	8.21064479819907
WASP0006132	3280	76332	26609	11652	8.1125
WASP0006134	1023	22097	7165	3017	7.0039100684262
WASP0006135	784	25180	4969	1992	6.33801020408163
WASP0006136	543	11266	2809	1146	5.1731123388582
WASP0006137	331	7889	2107	872	6.36555891238671
WASP0006139	1081	22606	7977	3474	7.37927844588344
WASP0006140	363	9646	2196	904	6.0495867768595
WASP0006141	559	10407	3296	1390	5.89624329159213
WASP0006142	2284	53348	16042	6799	7.02364273204904
WASP0006143	2781	58191	19820	8594	7.12693275800072
WASP0006144	2109	45917	13127	5569	6.22427690848744
WASP0006145	324	5258	1498	649	4.62345679012346
WASP0006146	1840	54879	13158	5532	7.15108695652174
WASP0006147	2839	61123	20073	8650	7.07044734061289
WASP0006149	2391	46615	18554	8125	7.75993308239231
WASP0006150	1636	27657	11946	5245	7.30195599022005
WASP0006152	4187	89955	36190	15866	8.64342010986387
WASP0006154	1817	35708	14630	6457	8.05173362685746
WASP0006155	646	11576	3693	1592	5.71671826625387
WASP0006156	2581	57360	20484	8663	7.93645873692367
WASP0006158	602	8832	3619	1586	6.01162790697674
WASP0006160	672	13452	3764	1559	5.60119047619048
WASP0006161	1723	34175	12239	5374	7.10330818340105
WASP0006162	1232	24136	8885	3877	7.21185064935065
WASP0006164	598	10355	4078	1779	6.81939799331104
WASP0006165	4469	95527	34506	15072	7.7211904229134
WASP0006166	5789	137634	53029	23523	9.16030402487476
WASP0006169	1634	33500	12581	5421	7.69951040391677
WASP0006170	847	19153	5294	2214	6.25029515938607
WASP0006171	1305	23723	9910	4331	7.59386973180077
WASP0006172	4139	85670	31889	13906	7.70451799951679
WASP0006173	1879	36393	12402	5341	6.60031931878659
WASP0006174	541	11844	3211	1405	5.93530499075786
WASP0006175	2913	52035	21204	9132	7.27909371781668
WASP0006176	1091	16697	7751	3440	7.1044912923923
WASP0006177	836	14544	5925	2645	7.08732057416268
WASP0006178	2137	33076	17026	7768	7.96724379971923
WASP0006179	3276	65125	25038	11101	7.64285714285714
WASP0006180	349	6968	1948	810	5.58166189111748
WASP0006182	1502	34184	10583	4630	7.04593874833555
WASP0006183	1307	29002	9219	3991	7.05355776587605
WASP0006184	1292	22876	11304	5175	8.74922600619195
WASP0006185	8875	174385	88872	40447	10.0137464788732
WASP0006186	2455	46634	19695	8648	8.02240325865581
WASP0006187	834	20701	5654	2421	6.77937649880096
WASP0006188	1120	17136	8079	3612	7.21339285714286
WASP0006189	1361	24331	10189	4698	7.48640705363703
WASP0006190	4369	77675	34121	15281	7.80979629205768
WASP0006191	1217	20010	8072	3607	6.63270336894002
WASP0006192	756	15697	5036	2177	6.66137566137566
WASP0006194	977	18757	5084	2154	5.20368474923234
WASP0006195	1025	18852	5554	2393	5.41853658536585
WASP0006197	735	12408	4121	1808	5.60680272108844
WASP0006198	4814	101226	31052	13194	6.45035313668467
WASP0006199	762	12734	4371	1903	5.73622047244094
WASP0006200	1658	49405	10253	4044	6.18395657418577
WASP0006201	1006	18365	5949	2621	5.91351888667992
WASP0006202	501	13151	2406	981	4.80239520958084
WASP0006203	3677	63473	22431	9748	6.10035354908893
WASP0006204	8191	168766	53715	23452	6.55780734952997
WASP0006205	1454	20623	9081	4188	6.2455295735901
WASP0006206	388	5394	1439	605	3.70876288659794
WASP0006208	2748	57718	17083	7119	6.2165211062591
WASP0006209	315	4456	1597	700	5.06984126984127
WASP0006210	1684	28432	10966	4903	6.51187648456057
WASP0006212	3596	56466	23787	10582	6.61484983314794
WASP0006213	5481	135686	41104	17248	7.49936143039591
WASP0006214	1879	35585	11061	4713	5.88664183076104
WASP0006215	1360	21148	10083	4534	7.41397058823529
WASP0006216	4475	86383	28328	12327	6.33027932960894
WASP0006217	411	5238	2274	1013	5.53284671532847
WASP0006218	599	9680	3111	1335	5.19365609348915
WASP0006219	437	7530	2803	1259	6.4141876430206
WASP0006221	3352	59802	23558	10481	7.02804295942721
WASP0006222	1503	22809	9674	4263	6.43646041250832
WASP0006224	7622	168171	48738	20424	6.39438467593807
WASP0006225	175	2497	790	341	4.51428571428571
WASP0006226	260	4711	1188	528	4.56923076923077
WASP0006227	855	13225	5035	2214	5.88888888888889
WASP0006229	2900	56596	18483	8194	6.37344827586207
WASP0006230	1197	20417	7070	3102	5.90643274853801
WASP0006231	924	16389	5308	2312	5.74458874458875
WASP0006233	326	5865	1547	670	4.74539877300614
WASP0006235	2163	41477	13105	5684	6.05871474803514
WASP0006236	612	9053	3368	1516	5.50326797385621
WASP0006238	3571	75459	22028	9456	6.16858022962756
WASP0006239	1833	31309	10778	4770	5.87997817785052
WASP0006240	1763	26708	11508	5095	6.52750992626205
WASP0006241	772	11413	4402	1959	5.7020725388601
WASP0006242	352	4832	1512	686	4.29545454545455
WASP0006243	3392	60108	21077	9294	6.21373820754717
WASP0006244	3988	70315	26733	11932	6.70336008024072
WASP0006245	1883	34353	11738	5199	6.23366967604886
WASP0006246	3437	58788	21877	9561	6.3651440209485
WASP0006247	606	9195	3298	1446	5.44224422442244
WASP0006248	930	17714	4891	2159	5.25913978494624
WASP0006250	3244	68145	20351	8881	6.27342786683107
WASP0006251	222	4422	977	402	4.4009009009009
WASP0006252	1538	29577	8947	3924	5.81729518855657
WASP0006253	654	10398	3768	1699	5.76146788990826
WASP0006255	926	12907	5319	2343	5.74406047516199
WASP0006256	1632	26111	9644	4250	5.9093137254902
WASP0006257	885	11002	5935	2724	6.70621468926554
WASP0006258	856	13457	5240	2363	6.1214953271028
WASP0006259	1358	30059	8074	3480	5.94550810014728
WASP0006261	2534	43049	15021	6640	5.92778216258879
WASP0006262	210	3449	852	367	4.05714285714286
WASP0006264	665	19944	3330	1246	5.00751879699248
WASP0006265	471	6883	2602	1170	5.5244161358811
WASP0006267	376	5478	2187	958	5.81648936170213
WASP0006269	1168	18507	6794	3032	5.81678082191781
WASP0006270	773	16271	4330	1870	5.60155239327296
WASP0006271	1228	20118	7272	3202	5.92182410423453
WASP0006273	662	15069	3802	1640	5.74320241691843
WASP0006275	3051	57296	18685	8290	6.12422156669944
WASP0006276	615	8618	3582	1635	5.82439024390244
WASP0006277	1348	20283	8643	3922	6.41172106824926
WASP0006278	208	3330	1021	467	4.90865384615385
WASP0006279	1202	15792	6728	3048	5.5973377703827
WASP0006280	1700	25659	11165	5069	6.56764705882353
WASP0006282	444	5376	2672	1212	6.01801801801802
WASP0006283	704	9877	4347	1969	6.17471590909091
WASP0006284	627	8784	3265	1494	5.207336523126
WASP0006285	3325	56418	22821	10283	6.86345864661654
WASP0006287	447	5975	2286	1036	5.11409395973154
WASP0006288	295	4498	1715	775	5.8135593220339
WASP0006292	927	14965	5814	2572	6.27184466019418
WASP0006293	1583	24719	10507	4668	6.63739734680986
WASP0006295	4677	97933	29013	12201	6.20333547145606
WASP0006296	405	6291	2213	955	5.4641975308642
WASP0006297	2506	55591	16442	6933	6.561053471668
WASP0006299	1020	13375	6385	2897	6.25980392156863
WASP0006300	713	8785	4611	2053	6.46704067321178
WASP0006301	1856	40569	11933	4944	6.42941810344828
WASP0006302	4064	81829	25817	11211	6.35260826771654
WASP0006303	473	9219	2336	1007	4.93868921775899
WASP0006305	590	9182	3464	1550	5.87118644067797
WASP0006306	239	3222	984	428	4.11715481171548
WASP0006307	404	5935	1998	895	4.94554455445545
WASP0006308	3050	52436	18674	8216	6.12262295081967
WASP0006309	766	10527	4411	1976	5.75848563968668
WASP0006310	1869	37325	11927	5192	6.38148742643125
WASP0006311	693	9350	3781	1719	5.45598845598846
WASP0006313	945	15919	5451	2430	5.76825396825397
WASP0006314	2687	43109	16106	6911	5.99404540379606
WASP0006315	2293	33026	15149	6796	6.60662887047536
WASP0006317	2118	37472	13246	5830	6.25401322001889
WASP0006318	1228	20931	8037	3517	6.54478827361564
WASP0006319	1531	26048	9090	4011	5.93729588504246
WASP0006320	906	16153	4915	2142	5.42494481236203
WASP0006322	893	10084	5934	2680	6.64501679731243
WASP0006323	1206	16868	7959	3632	6.59950248756219
WASP0006324	1191	23603	8111	3583	6.81024349286314
WASP0006325	985	15091	6012	2653	6.10355329949239
WASP0006326	603	10788	3205	1397	5.3150912106136
WASP0006328	1369	36322	8342	3397	6.09349890430972
WASP0006329	365	4588	2120	978	5.80821917808219
WASP0006331	631	10567	3840	1656	6.08557844690967
WASP0006332	4004	65064	29100	12849	7.26773226773227
WASP0006333	1158	16565	7138	3263	6.16407599309154
WASP0006336	913	15142	4757	2048	5.21029572836802
WASP0006337	573	12426	2977	1265	5.19546247818499
WASP0006338	2255	45530	13814	6133	6.12594235033259
WASP0006339	1174	13761	7417	3364	6.31771720613288
WASP0006340	1972	29586	12515	5540	6.34634888438134
WASP0006341	2528	40754	16080	7116	6.36075949367089
WASP0006342	726	10508	4410	1964	6.07438016528926
WASP0006343	259	3537	1199	545	4.62934362934363
WASP0006344	3090	49978	18893	8412	6.11423948220065
WASP0006346	2215	31812	13399	5962	6.04920993227991
WASP0006347	475	7889	2899	1263	6.10315789473684
WASP0006348	323	6165	1617	705	5.0061919504644
WASP0006349	1599	28067	10677	4731	6.67729831144465
WASP0006350	533	7836	2603	1153	4.88367729831144
WASP0006352	2449	38460	15433	6837	6.30175581870151
WASP0006354	2601	43249	17788	8003	6.83890811226451
WASP0006355	1343	18147	8546	3945	6.36336559940432
WASP0006356	351	6001	1912	887	5.44729344729345
WASP0006357	428	6476	2502	1137	5.84579439252337
WASP0006358	1051	17874	6228	2760	5.92578496669838
WASP0006359	218	3819	948	405	4.34862385321101
WASP0006361	183	3113	814	350	4.44808743169399
WASP0006362	1706	25261	10771	4933	6.31359906213365
WASP0006363	272	3951	1381	627	5.07720588235294
WASP0006364	370	4784	2115	968	5.71621621621622
WASP0006365	605	7894	3214	1463	5.31239669421488
WASP0006366	2508	44686	16726	7526	6.66905901116428
WASP0006367	224	2530	854	390	3.8125
WASP0006368	1082	14668	6427	2895	5.93992606284658
WASP0006369	807	11085	5093	2360	6.31102850061958
WASP0006370	478	6893	2961	1356	6.19456066945607
WASP0006371	649	8062	3488	1600	5.37442218798151
WASP0006373	1914	36701	13921	6205	7.27324973876698
WASP0006376	4026	49365	26332	11962	6.5404868355688
WASP0006378	319	3545	2046	947	6.41379310344828
WASP0006379	1016	13688	6281	2790	6.18208661417323
WASP0006380	1177	14442	7068	3249	6.00509770603229
WASP0006381	487	7556	2864	1303	5.88090349075975
WASP0006382	421	5329	2582	1203	6.13301662707839
WASP0007002	324	5172	2988	1392	9.22222222222222
WASP0007004	789	23915	9902	4657	12.5500633713561
WASP0007005	572	10961	7713	3647	13.4842657342657
WASP0007006	321	7677	2762	1242	8.60436137071651
WASP0007009	212	5082	1646	750	7.76415094339623
WASP0007013	729	24353	9380	4353	12.8669410150892
WASP0007014	216	3714	1503	706	6.95833333333333
WASP0007015	1262	52711	17242	7963	13.662440570523
WASP0007016	332	7540	3652	1732	11
WASP0007018	1224	31385	16298	7549	13.3153594771242
WASP0007023	287	5246	2947	1398	10.2682926829268
WASP0007026	357	8668	4679	2196	13.1064425770308
WASP0007028	425	14376	6321	2998	14.8729411764706
WASP0007029	371	10960	6545	2914	17.6415094339623
WASP0007030	146	4255	1149	535	7.86986301369863
WASP0007031	342	10898	4080	1881	11.9298245614035
WASP0007032	356	6053	4647	2240	13.0533707865169
WASP0007035	155	4418	2194	1040	14.1548387096774
WASP0007044	1038	24690	12923	6120	12.4499036608863
WASP0007046	180	2887	1891	855	10.5055555555556
WASP0007047	205	5381	2902	1321	14.1560975609756
WASP0007049	180	3907	1942	914	10.7888888888889
WASP0007051	514	11787	8829	4290	17.1770428015564
WASP0007052	534	13653	8067	3884	15.1067415730337
WASP0007053	152	1921	799	361	5.25657894736842
WASP0007056	125	2338	937	434	7.496
WASP0007058	186	6140	1448	631	7.78494623655914
WASP0007064	228	4057	2762	1302	12.1140350877193
WASP0007067	701	13383	12872	6247	18.3623395149786
WASP0007068	491	8616	6905	3349	14.0631364562118
WASP0007073	751	17516	9283	4362	12.3608521970706
WASP0007074	869	19903	10320	4794	11.8757192174914
WASP0007075	662	16476	9606	4553	14.5105740181269
WASP0007077	373	5474	6220	2970	16.6756032171582
WASP0007085	808	12523	14545	7201	18.0012376237624
WASP0007087	205	3587	2348	1088	11.4536585365854
WASP0007088	135	2651	1575	725	11.6666666666667
WASP0007089	1042	23057	22069	9567	21.179462571977
WASP0007101	408	7262	4245	1984	10.4044117647059
WASP0007104	162	5025	1401	600	8.64814814814815
WASP0007106	613	18013	5912	2623	9.64437194127243
WASP0007109	2708	75145	41107	19132	15.1798375184638
WASP0007110	704	20049	8741	3952	12.4161931818182
WASP0007113	1276	40095	15217	6871	11.9255485893417
WASP0007114	488	14455	5078	2281	10.405737704918
WASP0007115	1228	40500	13175	5853	10.7288273615635
WASP0007116	152	4026	746	313	4.90789473684211
WASP0007118	218	3327	1576	728	7.22935779816514
WASP0007119	234	6741	2246	985	9.5982905982906
WASP0007120	309	6821	3985	1912	12.8964401294498
WASP0007123	1058	30020	12183	5539	11.5151228733459
WASP0007124	1278	40182	21240	10063	16.6197183098592
WASP0007125	762	26870	7574	3209	9.93963254593176
WASP0007127	2006	49323	22655	10387	11.2936191425723
WASP0007129	597	14778	7319	3388	12.2596314907873
WASP0007132	905	25830	12617	5680	13.9414364640884
WASP0007133	176	4573	1125	497	6.39204545454545
WASP0007134	225	5604	1788	786	7.94666666666667
WASP0007137	545	14441	7744	3638	14.2091743119266
WASP0007138	231	5546	2426	1142	10.5021645021645
WASP0007139	223	6280	1923	881	8.62331838565022
WASP0007140	556	20673	5871	2561	10.5593525179856
WASP0007142	268	6267	2684	1231	10.0149253731343
WASP0007149	231	5224	2370	1057	10.2597402597403
WASP0007153	1653	48746	19768	8861	11.9588626739262
WASP0007154	978	29961	10681	4791	10.9212678936605
WASP0007155	459	10747	5242	2329	11.4204793028322
WASP0007158	321	9424	3934	1852	12.2554517133956
WASP0007159	781	19014	9479	4429	12.1370038412292
WASP0007162	138	2012	1185	509	8.58695652173913
WASP0007165	1050	20632	15109	7309	14.3895238095238
WASP0007168	888	37232	11700	5321	13.1756756756757
WASP0007169	1577	42598	20984	9691	13.3062777425491
WASP0007170	421	11646	7513	3606	17.8456057007126
WASP0007173	192	4594	2124	996	11.0625
WASP0007175	990	19331	11455	5427	11.5707070707071
WASP0007178	1011	22206	14606	6889	14.4470820969337
WASP0007182	236	4775	2982	1440	12.635593220339
WASP0007185	358	9942	4128	1896	11.5307262569832
WASP0007189	745	17848	10888	5186	14.6147651006711
WASP0007190	235	5295	2076	922	8.83404255319149
WASP0007191	276	4702	3447	1689	12.4891304347826
WASP0007193	465	13307	5912	2736	12.7139784946237
WASP0007194	153	3393	1236	527	8.07843137254902
WASP0007196	1544	55906	21339	9943	13.8205958549223
WASP0007197	322	12960	3563	1632	11.0652173913043
WASP0007198	574	21810	6456	2953	11.2473867595819
WASP0007199	2995	110547	59906	28800	20.0020033388982
WASP0007200	1500	44017	21603	10137	14.402
WASP0007201	171	2831	971	451	5.67836257309942
WASP0007202	655	20943	9097	4221	13.8885496183206
WASP0007204	872	30996	9050	4041	10.3784403669725
WASP0007206	4226	145538	108920	51926	25.7737813535258
WASP0007209	693	16676	6738	3073	9.72294372294372
WASP0007210	2707	102487	39055	17683	14.4274104174363
WASP0007211	670	19378	7693	3583	11.4820895522388
WASP0007213	223	5817	2388	1076	10.7085201793722
WASP0007214	319	8061	4552	2104	14.269592476489
WASP0007219	345	10428	4979	2368	14.431884057971
WASP0007222	1725	46991	28700	13730	16.6376811594203
WASP0007225	840	21256	11962	5589	14.2404761904762
WASP0007227	481	14000	6979	3323	14.5093555093555
WASP0007229	570	20461	7780	3673	13.6491228070175
WASP0007234	368	13358	5734	2747	15.5815217391304
WASP0007235	239	7006	3114	1469	13.0292887029289
WASP0007237	375	11417	5438	2610	14.5013333333333
WASP0007238	662	15300	11343	5180	17.1344410876133
WASP0007249	246	6156	3588	1677	14.5853658536585
WASP0007260	404	6436	5320	2508	13.1683168316832
WASP0007263	613	12223	7969	3836	13
WASP0007265	1511	36215	27339	13180	18.0933156849768
WASP0007267	227	5051	4466	2098	19.6740088105727
WASP0007268	157	4385	2279	1085	14.515923566879
WASP0007269	209	4717	2379	1081	11.3827751196172
WASP0007274	679	23980	24928	10438	36.7128129602356
WASP0007275	293	7052	3702	1792	12.6348122866894
WASP0007276	226	6796	3284	1540	14.5309734513274
WASP0007278	249	5577	3491	1652	14.0200803212851
WASP0007282	587	11460	8036	3840	13.6899488926746
WASP0007285	1242	26316	19166	9261	15.4315619967794
WASP0007286	2313	49653	40342	19514	17.4414180717683
WASP0007290	621	29802	7052	3148	11.3558776167472
WASP0007291	214	4900	1454	598	6.79439252336449
WASP0007292	1562	65535	18782	8297	12.0243277848912
WASP0007293	1396	51000	17021	7593	12.1926934097421
WASP0007296	215	5534	2054	949	9.55348837209302
WASP0007297	1332	59612	49055	21580	36.8280780780781
WASP0007298	219	4189	1948	899	8.89497716894977
WASP0007299	2984	129069	35939	15645	12.0439008042895
WASP0007302	1159	44608	12819	5618	11.060396893874
WASP0007303	1260	42990	16443	7422	13.05
WASP0007305	1043	36556	11792	5202	11.3058485139022
WASP0007306	1931	102953	27169	12035	14.0699119627136
WASP0007313	335	8930	5085	2403	15.1791044776119
WASP0007314	257	8627	2344	1014	9.12062256809338
WASP0007316	645	26854	7837	3606	12.1503875968992
WASP0007318	1585	56810	18628	8359	11.7526813880126
WASP0007320	472	11232	6313	2861	13.375
WASP0007323	3437	142483	50434	22676	14.6738434681408
WASP0007324	476	14288	6290	2978	13.2142857142857
WASP0007326	2846	105170	43987	20391	15.4557273366128
WASP0007329	844	26380	11962	5584	14.1729857819905
WASP0007330	142	2714	1350	610	9.50704225352113
WASP0007331	1455	62146	17872	8030	12.2831615120275
WASP0007339	390	10687	4317	2044	11.0692307692308
WASP0007342	869	26127	11794	5543	13.5719217491369
WASP0007344	260	5742	3270	1559	12.5769230769231
WASP0007345	1103	32154	14271	6710	12.9383499546691
WASP0007346	1094	34648	16067	7466	14.6864716636197
WASP0007348	369	12527	5213	2433	14.1273712737127
WASP0007351	172	3505	2127	993	12.3662790697674
WASP0007352	542	16798	8431	3943	15.5553505535055
WASP0007355	705	18614	11671	5631	16.554609929078
WASP0007358	484	11889	8143	3959	16.8243801652893
WASP0007359	2522	59799	60455	29640	23.9710547184774
WASP0007360	500	10532	7274	3455	14.548
WASP0007362	280	7653	3191	1485	11.3964285714286
WASP0007364	1645	39681	33733	16249	20.5063829787234
WASP0007367	331	8545	4520	2176	13.6555891238671
WASP0007376	283	6087	4657	2219	16.4558303886926
WASP0007377	496	10825	7373	3571	14.8649193548387
WASP0007378	214	3201	2240	1051	10.4672897196262
WASP0007379	275	6897	3002	1410	10.9163636363636
WASP0007382	338	6182	5225	2451	15.4585798816568
WASP0007383	182	3396	2306	1092	12.6703296703297
WASP0007384	376	8768	5776	2740	15.3617021276596
WASP0008001	457	9112	5882	2744	12.8708971553611
WASP0008002	800	18137	9303	4345	11.62875
WASP0008004	334	6167	2666	1245	7.98203592814371
WASP0008005	480	10992	6695	3050	13.9479166666667
WASP0008007	1026	29470	12779	5815	12.4551656920078
WASP0008008	317	5874	2527	1186	7.97160883280757
WASP0008009	843	19040	11328	5298	13.4377224199288
WASP0008011	4959	179291	81876	37194	16.5105868118572
WASP0008012	2804	99432	62391	27056	22.2507132667618
WASP0008013	1024	27052	14698	6816	14.353515625
WASP0008014	720	19815	7970	3696	11.0694444444444
WASP0008015	1204	42410	15000	6601	12.4584717607973
WASP0008016	312	6554	2928	1296	9.38461538461539
WASP0008017	1035	23153	13453	6334	12.9980676328502
WASP0008018	879	29028	12940	5922	14.7212741751991
WASP0008020	790	19207	12415	5797	15.7151898734177
WASP0008021	608	19653	8973	4076	14.7582236842105
WASP0008022	400	12403	5168	2331	12.92
WASP0008023	666	16921	9048	4230	13.5855855855856
WASP0008024	542	14337	7169	3388	13.2269372693727
