gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Hvul_g15507_1	52	0.0021217	10	0.044	0.003	1	0	0.000406	1	1	1	0.000433	0.0004328	-0.000342062554171561	0	10	750	no	-11.1733453545975
Hvul_g15508_1	30	0.0012251	7	0.022	-0.011	1	0	0.0003746	1	1	1	0.0003031	0.000303	-0.000202149570144166	0	7	750	no	-11.6879185274272
Hvul_g15520_1	181	0.0075913	16	0.103	0.024	1	0	0.0012252	1	1	1	0.0006927	0.0006923	-0.000523129257381688	0	16	750	no	-10.4954817057163
Hvul_g15553_1	15	0.0006129	5	0.016	-0.007	1	0	0.0001815	1	1	1	0.0002165	0.0002164	-0.00023006663946312	0	5	750	no	-12.1733453545975
Hvul_g15574_1	399	0.016866	61	0.108	-0.012	1	0	0.0033704	2	1	1	0.0026843	0.0027638	0.0365908203581643	0.0398091929590411	61	750	no	-8.54123836710096
Hvul_g15575_1	207	0.008474	30	0.078	-0.011	1	0	0.0015681	1	1	1	0.0012989	0.0012972	-0.00143536884524777	0	30	750	no	-9.58849392012531
Hvul_g15584_1	6843	0.8454196	713	0.334	-0.118	1	0.00304391940860993	0.0434003	3	3	3	0.0338572	0.0389472	0.199795859320634	0.151496608154071	713	750	yes	-4.88439352289515
Hvul_g15589_1	11	0.0004496	3	0.006	-0.011	1	0	0.0001916	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g1559_1	1307	0.0661224	181	0.176	-0.05	1	0	0.0116078	2	2	2	0.0080097	0.0082923	0.0476244339950028	0.0141402772108106	181	750	no	-6.96403607656212
Hvul_g15612_1	8049	0.508489	906	0.506	0.032	0.900235761260703	-0.0285811263190718	0.0557787	3	2	2	0.0406979	0.0420741	0.047506616155527	0.00251087105639156	906	750	no	-4.61890183601414
Hvul_g15620_1	2890	0.2147652	297	0.35	0.036	1	0	0.0183754	2	2	2	0.0131186	0.0134666	0.0366398993848737	0	297	750	no	-6.25224242415007
Hvul_g15624_1	14	0.0005721	2	0.018	-0.003	1	0	0.0001711	1	1	0	8.66e-05	8.66e-05	0	0	2	750	no	-13.4952734494848
Hvul_g15643_1	153	0.0065438	29	0.074	0.00599999999999999	1	0	0.0013661	1	1	1	0.0012556	0.0012541	-0.00129935308138168	0	29	750	no	-9.63740735062942
Hvul_g15647_1	449	0.0235007	130	-0.025	-0.151	1	0	0.0102245	2	2	2	0.0060614	0.0068909	0.173980585505198	0.162458815533141	130	750	no	-7.36613323357342
Hvul_g15679_1	24946	6.6048274	2176	0.505	-0.146	0.924867767270396	0.210012418156966	0.1451448	5	5	4	0.1130017	0.1449197	0.35775833257245	0.283110556639896	2176	750	yes	-3.14558361814848
Hvul_g15704_1	229	0.0097664	34	0.11	0.016	1	0	0.0022283	2	2	1	0.0015586	0.0017295	0.120066984801689	0.121752995524533	34	750	no	-9.32553356320807
Hvul_g15707_1	1911	0.1282122	230	0.229	-0.03	1	0	0.0127268	2	2	1	0.0100446	0.0101173	0.00999700510970255	-0.0124487781420284	230	750	no	-6.63743607612727
Hvul_g15708_1	225	0.0127133	31	0.077	-0.017	1	0	0.0024468	1	1	1	0.0013422	0.0013404	-0.0014822828013516	0	31	750	no	-9.54118462243126
Hvul_g15709_1	21	0.0008579	4	0.028	0.006	1	0	0.000325	1	1	1	0.0001732	0.0001732	0	0	4	750	no	-12.4952734494848
Hvul_g15714_1	269	0.0162752	41	0.049	-0.055	1	0	0.003064	2	2	1	0.0018617	0.0020315	0.103967765447103	0.106128033952758	41	750	no	-9.06916367330267
Hvul_g1573_1	245	0.0108168	28	0.113	0.026	1	0	0.0016768	1	1	1	0.0012123	0.0012109	-0.00124506197246134	0	28	750	no	-9.68803752730692
Hvul_g15745_1	1365	0.2783996	220	-0.018	-0.251	1	0	0.0423018	11	11	11	0.0208685	0.0789722	1.89938797561166	1.86016617544057	220	750	yes	-5.58252928454932
Hvul_g15761_1	3967	0.2303458	510	0.339	-0.029	1	0	0.0307677	2	2	2	0.0226436	0.0232576	0.037920343479505	-0.00487380513020583	510	750	no	-5.46475284603673
Hvul_g15763_1	77	0.0032202	8	0.071	0.019	1	0	0.0004157	1	1	1	0.0003464	0.0003463	-0.000190586370607218	0	8	750	no	-11.4952734494848
Hvul_g15766_1	123	0.0052493	13	0.073	0.00499999999999999	1	0	0.0008367	1	1	1	0.0005628	0.0005626	-0.000296446108090548	0	13	750	no	-10.795090050975
Hvul_g15773_1	6435	0.8540673	732	0.222	-0.213	1	0	0.0515248	7	6	6	0.0381002	0.0560474	0.551914607871982	0.504684459788794	732	750	yes	-4.71405761887369
Hvul_g15775_1	266	0.0158281	59	0.035	-0.063	1	0	0.0042442	3	3	2	0.0029874	0.0040177	0.382064440043882	0.34993483889786	59	750	no	-8.38689386342433
Hvul_g15776_1	524	0.0443543	54	0.168	0.016	1	0	0.003245	2	1	1	0.0023813	0.0024623	0.0412601144350837	0.0440972458131475	54	750	no	-8.7140348995649
Hvul_g15783_1	153	0.0062985	18	0.099	0.031	1	0	0.0008401	1	1	1	0.0007793	0.0007787	-0.000727637337496425	0	18	750	no	-10.3255335632081
Hvul_g15786_1	24	0.0010621	4	0.036	0.008	1	0	0.0001389	1	1	1	0.0001732	0.0001732	0	0	4	750	no	-12.4952734494848
Hvul_g15815_1	534	0.0243015	76	0.155	0.00600000000000001	1	0	0.0038822	2	1	1	0.0033338	0.0034094	0.0288378713990539	0.000438462984790236	76	750	no	-8.22861672732725
Hvul_g15816_1	458	0.0210747	67	0.131	0.003	1	0	0.003663	1	1	1	0.0029008	0.0028925	-0.00362061448879225	-0.0368223996189117	67	750	no	-8.42933345446738
Hvul_g1582_1	31	0.0013477	2	0.031	-0.005	1	0	0.0002168	1	1	0	8.66e-05	8.66e-05	0	0	2	750	no	-13.4952734494848
Hvul_g15821_1	12	0.0004904	5	-0.002	-0.022	1	0	0.0003018	1	1	1	0.0002165	0.0002164	-0.00023006663946312	0	5	750	no	-12.1733453545975
Hvul_g15837_1	3025	0.1612162	339	0.364	0.04	1	0	0.0188533	2	2	2	0.0148504	0.0149769	0.0119093356705921	-0.0250390533972321	339	750	no	-6.07335439879957
Hvul_g15856_1	80	0.0045688	7	0.093	0.041	1	0	0.0004372	1	1	1	0.0003031	0.000303	-0.000202149570144166	0	7	750	no	-11.6879185274272
Hvul_g15884_1	3581	1.1392522	450	0.02	-0.332	1	0	0.0403172	11	7	5	0.030307	0.0650669	1.09193306426535	1.05039234331633	450	750	yes	-5.04420513868606
Hvul_g159_1	2439	0.1251903	310	0.302	-0.002	1	0	0.0161619	2	2	1	0.0135082	0.0134995	-0.000902042328996952	-0.035259924272328	310	750	no	-6.2100207448731
Hvul_g15933_1	867	0.1625819	139	0.053	-0.127	1	0	0.012644	6	6	6	0.0094385	0.0225122	1.21871721704492	1.19386978390001	139	750	yes	-6.72722668508672
Hvul_g15936_1	64	0.00261	8	0.042	0	1	0	0.0005807	1	1	1	0.0003464	0.0003463	-0.000190586370607218	0	8	750	no	-11.4952734494848
Hvul_g15967_1	819	0.0343286	113	0.173	-0.003	1	0	0.0065535	1	1	1	0.0048924	0.0048687	-0.00646206495401444	-0.0237210288750597	113	750	no	-7.67524192200183
Hvul_g15977_1	1918	0.0913272	228	0.299	0.041	1	0	0.0140561	2	2	1	0.009958	0.0100325	0.0103288977337812	-0.0119142678698656	228	750	no	-6.64992826925813
Hvul_g15979_1	3764	0.2303935	444	0.373	0.003	1	0	0.0263863	2	2	2	0.0196562	0.0201367	0.0341382125946476	-0.00115322461591047	444	750	no	-5.66887174759997
Hvul_g15986_1	47	0.0028994	10	-0.001	-0.037	1	0	0.0008064	2	1	1	0.0004763	0.0005626	0.133960975205883	0.134449044363052	10	750	no	-11.0358418308475
Hvul_g15988_1	872	0.2137184	131	0.032	-0.152	1	0	0.0120167	6	4	4	0.0085725	0.0180249	1.03719902040548	1.00828232996562	131	750	yes	-6.86606828550118
Hvul_g15989_1	3047	0.2055609	343	0.288	-0.037	1	0	0.019991	3	2	2	0.0155864	0.0169029	0.1140958415481	0.0883628859465659	343	750	no	-6.00356844338734
Hvul_g160_1	17	0.0006946	3	0.034	0.014	1	0	0.0001337	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g16037_1	8960	0.7028488	931	0.53	0.032	0.919955406911929	0.0487122375130216	0.0538159	4	3	2	0.0422133	0.0445896	0.0782687622820223	0.0297160831963255	931	750	no	-4.56615857423084
Hvul_g1604_1	19	0.0007763	7	0.011	-0.012	1	0	0.0003963	1	1	1	0.0003031	0.000303	-0.000202149570144166	0	7	750	no	-11.6879185274272
Hvul_g16049_1	42	0.0017144	7	0.054	0.023	1	0	0.000253	1	1	1	0.0003031	0.000303	-0.000202149570144166	0	7	750	no	-11.6879185274272
Hvul_g16059_1	4808	0.3536343	627	0.382	-0.011	1	0	0.0359772	3	2	2	0.0282288	0.0296846	0.0715320702263616	0.0318729556411487	627	750	no	-5.14668838832845
Hvul_g16065_1	407	0.0174276	58	0.134	0.00900000000000001	1	0	0.0031575	1	1	1	0.0025111	0.002505	-0.00301521643881482	-0.0408793390272579	58	750	no	-8.63746480219707
