metacell	gene	cell_type	color
1	Spis_XP_022780694_1	cnidocyte	plum3
1	Spis_XP_022783889_1	cnidocyte	plum3
1	Spis_XP_022789543_1	cnidocyte	plum3
2	Spis_XP_022788102_1	gastrodermis_1	chartreuse4
2	Spis_XP_022806051_1	gastrodermis_1	chartreuse4
2	Spis_XP_022806376_1	gastrodermis_1	chartreuse4
3	Spis_XP_022786917_1	gastrodermis_1	chartreuse4
3	Spis_XP_022809885_1	gastrodermis_1	chartreuse4
3	Spis_XP_022790594_1	gastrodermis_1	chartreuse4
3	Spis_XP_022806373_1	gastrodermis_1	chartreuse4
4	Spis_XP_022796495_1	gastrodermis_1	chartreuse4
4	Spis_XP_022786886_1	gastrodermis_1	chartreuse4
4	Spis_XP_022777980_1	gastrodermis_1	chartreuse4
4	Spis_XP_022795301_1	gastrodermis_1	chartreuse4
4	Spis_XP_022799213_1	gastrodermis_1	chartreuse4
5	Spis_XP_022793420_1	gastrodermis_1	chartreuse4
5	Spis_XP_022785263_1	gastrodermis_1	chartreuse4
5	Spis_XP_022781398_1	gastrodermis_1	chartreuse4
5	Spis_XP_022785526_1	gastrodermis_1	chartreuse4
5	Spis_XP_022795065_1	gastrodermis_1	chartreuse4
5	Spis_XP_022781072_1	gastrodermis_1	chartreuse4
5	Spis_XP_022804308_1	gastrodermis_1	chartreuse4
6	Spis_XP_022794351_1	gastrodermis_1	chartreuse4
8	Spis_XP_022803038_1	gastrodermis_2	chartreuse3
8	Spis_XP_022803036_1	gastrodermis_2	chartreuse3
8	Spis_XP_022792757_1	gastrodermis_2	chartreuse3
8	Spis_XP_022787225_1	gastrodermis_2	chartreuse3
8	Spis_XP_022777441_1	gastrodermis_2	chartreuse3
9	Spis_XP_022807389_1	digestive_filaments	firebrick3
9	Spis_XP_022792389_1	digestive_filaments	firebrick3
9	Spis_XP_022792391_1	digestive_filaments	firebrick3
9	Spis_XP_022802871_1	digestive_filaments	firebrick3
9	Spis_XP_022792390_1	digestive_filaments	firebrick3
9	Spis_XP_022794488_1	digestive_filaments	firebrick3
9	Spis_XP_022797242_1	digestive_filaments	firebrick3
9	Spis_XP_022787504_1	digestive_filaments	firebrick3
