gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_000067	23	0.0009885	9	0.019	-0.009	1	0	0.0006149	2	1	1	0.0005997	0.0007194	0.163823168599265	0.16425803817997	9	750	no	-10.7034714067458
Xesp_000068	38	0.0015015	9	0.033	0	1	0	0.0010741	1	1	1	0.0005398	0.0005395	-0.000462718403022112	-0.000133114165894247	9	750	no	-10.8552874027447
Xesp_000069	345	0.0152074	130	0.073	-0.033	1	0	0.0095682	2	2	2	0.0082764	0.009168	0.141187319757762	0.0934422150137645	130	750	no	-6.91678091205104
Xesp_000078	60	0.002527	15	0.06	0.017	1	0	0.0011171	1	1	1	0.0008996	0.0008988	-0.000891301808909549	-0.000190403279851531	15	750	no	-10.1184287184337
Xesp_000079	67	0.0028026	26	0.031	-0.014	1	0	0.0019494	1	1	1	0.0015593	0.001557	-0.00169827834703185	-9.86357467039987e-05	26	750	no	-9.32488576401913
Xesp_000080	36	0.0015017	9	0.068	0.035	1	0	0.0005954	1	1	1	0.0005398	0.0005395	-0.000462718403022112	0	9	750	no	-10.8552874027447
Xesp_000081	104	0.0043361	27	0.052	-0.008	1	0	0.0032374	1	1	1	0.0016193	0.0016168	-0.00179104618879863	-9.27678417667805e-05	27	750	no	-9.27041399301938
Xesp_000082	1554	0.0661037	520	0.167	-0.04	1	0	0.0425424	2	2	2	0.0322058	0.0332097	0.043754717596217	-0.0430848439196816	520	750	no	-4.95653566051182
Xesp_000083	732	0.0333517	216	0.127	-0.023	1	0	0.0186095	2	2	2	0.0131342	0.0133224	0.0199294858480066	-0.0250115403844478	216	750	no	-6.25052786072927
orphan_peak_76	1804	0.0882952	593	0.165	-0.051	1	0	0.0500295	3	3	2	0.0373636	0.0398082	0.0905034136019457	-0.000603538390667763	593	750	no	-4.74222272370115
Xesp_000085	54	0.0022115	10	0.042	0	1	0	0.0016404	1	1	1	0.0005997	0.0005994	-0.000434869580704414	0	10	750	no	-10.7034714067458
Xesp_000087	61	0.0024081	16	0.04	-0.004	1	0	0.0016068	1	1	1	0.0009596	0.0009587	-0.000958346328843963	-6.70445199344138e-05	16	750	no	-10.0252792219181
Xesp_000088	18	0.0007118	6	0.02	-0.007	1	0	0.000535	1	1	1	0.0003598	0.0003597	-0.000190968958196353	0	6	750	no	-11.4405171929601
Xesp_000089	19	0.0007513	7	0.01	-0.013	1	0	0.0005364	1	1	1	0.0004198	0.0004197	-0.000176917833038113	0	7	750	no	-11.2180102129194
Xesp_000090	84	0.0033131	28	0.048	-0.005	1	0	0.0021079	1	1	1	0.0016793	0.0016765	-0.00194807401475692	-0.000157027825958282	28	750	no	-9.2179242998605
Xesp_000092	12391	0.796335	3132	0.433	0.048	0.748810579791952	-0.127031738267347	0.3632603	5	5	5	0.2213626	0.2535807	0.195706333500522	-0.238745118686908	3132	750	no	-2.17551660064671
orphan_peak_82	3519	0.1961606	959	0.225	-0.056	1	0	0.1052171	4	3	3	0.0630323	0.0720178	0.191138801322878	0.0822064468450004	959	750	no	-3.98776488325308
Xesp_000094	61	0.0024872	22	0.022	-0.022	1	0	0.0018068	1	1	1	0.0013194	0.0013178	-0.0013464960025668	-3.8411874625691e-05	22	750	no	-9.56590227463541
